"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","13.6103","10.2492","11.7922","8.2058","11.1935","10.2866","8.0575","7.4571","12.1389","13.9318","11.3946","9.0457","9.495","9.5852","10.6783","11.97","9.3472","12.4816","13.1211","11.8934","13.6315","9.2097","7.2738","7.4482","12.5914","15.1873","15.4887","10.0997","12.8476","10.5324","12.7547","15.8353","15.3497","8.9237","9.3729","12.8818","16.0892","17.2468","15.159","16.1767","19.3828","16.2123","12.9227","17.7176","13.3245","17.4286","16.4272","19.1921","14.4618","12.2751","14.3685","14.6325","10.3034","13.4787","11.6899","17.1941","20.45","11.7611","11.8927","12.6629","12.7534","12.252","11.5398","14.8688","15.3301","13.2392","13.7023","11.2461","11.666","10.1445","8.4309","8.3078","9.2066","10.2097","10.9957","11.9355","11.499","11.4975","9.9468","10.9817","11.1968","12.7597","14.7517","11.4348","13.3003","10.3429","13.414","11.199","12.0091","10.9852","11.1251","9.0384","9.6471","10.1714","6.8656","9.0412","7.8428","7.0707","8.1603","9.6962","8.5544","8.22","8.4956","7.1692","11.945","9.2855","13.0449","9.7864","8.204","8.5785","10.8028","10.6578","7.1177","9.0599","9.7933","9.2236","10.2067","13.7086","13.3206","8.7899","11.3132","9.5997","9.9838","9.6558","9.1327","8.6899","7.7499","10.484","5.8919","7.2342","5.2125","7.3145","7.9706","5.4148","8.2024","7.0808","5.0567","5.2371","7.0649","9.1165","5.8155","7.6311","7.3519","6.691","9.2788","5.9792","5.0056","7.8633","9.0532","8.4182","8.8188","10.6845","6.7115","7.1704","4.974","6.5387","11.2784","10.3647","6.0692","5.3104","6.7355","4.4983","5.496","7.8895","8.0588","9.2423","10.882","10.041","10.6035","7.6023","8.0948","6.7434","5.9583","7.8222","9.2671","16.533","8.1709","7.0427","7.0122","10.1947","12.2395","9.9457","4.7784","7.2987","6.4353","7.2808","7.6234","8.1166","5.7861","7.1547","12.2821","7.0406","8.7048","7.3338","5.1354","6.9017","6.064","5.2677","6.1002","7.3804","8.4705","3.3923","5.1213","11.8067","4.6626","4.6213","3.1859","7.2781","4.7094","5.9856","6.293","7.7124","5.8402","4.7503","6.013","2.4525","6.0635","5.2576","4.1492","3.6063","4.9931","4.1891","4.4575","4.9385","3.6242","3.2094","3.7979","3.3101","4.2268","3.7159","5.6078","4.8547","2.8605","4.6604","4.4815","4.4298","2.5106","3.0054","2.9943","3.7646","4.5751","3.3724","5.0238","4.1325","4.5437","3.5254","2.9868","3.0742","3.035","4.2877","4.4596","4.885","3.9301","4.6868","4.1481","3.8561","3.7499","8.8598","3.0077","3.0288","2.641","2.8957"
"Share (in Promille) on entire corpus","3.3297","2.7943","2.8305","2.3172","3.083","3.4811","2.2581","1.7294","2.2841","2.9977","2.3334","2.73","2.438","1.6934","2.2004","2.7714","2.419","2.3535","2.8618","2.7362","2.5098","2.1414","1.8536","2.0847","2.9819","2.8897","2.7156","1.4671","3.1244","2.3211","2.1357","1.988","2.8737","1.4769","1.8741","2.4216","3.4116","3.7006","2.4844","3.4177","5.0474","4.6386","2.3789","3.2379","2.6606","4.0571","3.1153","4.5436","3.2109","2.1962","3.0389","3.2889","1.8148","2.5381","1.9896","3.6372","5.363","3.8873","3.4053","2.9912","2.481","2.0298","2.389","3.4036","3.9962","3.2612","2.3523","2.4237","2.5185","2.1436","1.6989","1.7399","1.9764","2.3686","2.4604","2.4386","2.1824","2.4157","2.1232","2.3399","2.979","3.5775","4.574","3.9224","4.6703","2.8732","4.8248","4.5889","5.1781","4.9486","5.2622","3.7965","3.5924","3.3405","1.8146","2.6235","1.9152","1.8005","2.2404","2.8728","2.1383","2.3306","1.8356","1.4712","2.3999","1.6809","2.2231","1.9671","1.949","2.311","3.0143","3.3892","2.6581","2.5766","1.8759","2.4018","2.9212","3.7707","4.7243","3.7612","4.8499","4.1771","4.336","4.2432","2.6934","3.0453","2.5551","4.1708","2.2584","2.8533","2.5062","3.1437","3.0157","1.815","2.8903","2.7833","1.905","1.6622","2.7271","4.0043","2.7642","2.9341","2.4133","2.215","3.7602","2.0987","1.8699","3.3801","3.2854","2.9697","2.975","3.2488","1.783","2.5516","1.9376","2.3102","3.7135","2.8667","1.6011","1.6884","2.0618","1.5499","1.9731","2.9723","2.1058","3.1059","3.7291","3.4981","4.6366","2.5407","2.3748","1.5171","1.6058","2.2746","2.533","4.6502","2.0992","1.7671","1.6485","3.7138","3.5342","2.8854","1.4366","2.3843","1.8766","1.7321","2.2724","2.0611","1.504","1.938","4.1265","2.2536","4.0491","2.6843","1.6036","2.2096","1.6091","1.6446","1.7465","2.306","2.7729","0.919","1.6911","3.3818","1.7974","1.737","0.8267","1.8211","1.4262","1.9787","2.1326","2.7936","2.0572","1.6092","1.7507","0.6175","1.4796","1.2494","0.9939","1.0217","1.1721","1.3427","1.6068","1.7344","1.2202","0.925","0.7247","1.0725","1.272","1.0247","0.8499","1.1392","0.7425","1.3755","0.8575","1.3972","0.6614","0.8748","0.8032","1.1257","1.4513","1.1916","2.2053","1.3794","2.2255","1.9292","1.3491","1.435","1.7594","3.7166","3.6812","3.8578","4.3031","4.1214","4.0032","4.73","5.8136","15.8564","5.7011","5.658","5.1653","5.0399"
"1","dollar","dollar","japan","dollar","dollar","dollar","dollar","dollar","usa","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","deflation","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","dollar","china","dollar","dollar","china","dollar","china","china","dollar","china","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","gold","china","dollar","dollar","china","china","dollar","gold","dollar","dollar","dollar","dollar","dollar","gold","gold","dollar","china","dollar","dollar","dollar","gold","gold","china","china","china","china","gold","china","gold","dollar","dollar","china","china","china","china","china","gold","dollar","gold","china","china","gold","dollar","china","china","china","china","china","china","china","china","indien","china","china","gold","china","dollar","china","china","dollar","china","gold","dollar","dollar","china","china","indien","gold","gold","dollar","bitcoins","gold","dollar","russland","china","china","russland","russland","dollar","dollar","dollar","rubel","dollar","dollar","dollar","china","dollar","china","china","china","china","gold","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","dollar","dollar","china","dollar","dollar","dollar","dollar","dollar","bitcoin","dollar","dollar","dollar","gold","gold","the","bitcoin","brasilien","bitcoin","bitcoin","bitcoin","gold","sanktionen","dollar","dollar","gold","dollar","china","rubel","gold","ilo","gold","gold","bitcoin","gold","gravitationswellen","gold","gold","gold","dollar","erden","gold","gold","gold","clooney","gold","gold","souvenirs","libra","gold","gold","goldpreis","gold","bitcoin","gold","bitcoin","bitcoin","bitcoin","bitcoin","bitcoin","bitcoin","bitcoin","gold","bitcoin","gold","bitcoin","bitcoin","bitcoin","suisse","gold","musk","bitcoin","weizen","wellendorff","kryptowaehrungen","harry","pixel"
"2","usa","usa","dollar","usa","gold","usa","usa","usa","dollar","usa","usa","usa","t","japan","usa","gold","usa","usa","usa","bush","irak","dollar","usa","gold","gold","krieg","krieg","irak","deflation","usa","deflation","gold","gold","usa","gold","usa","china","china","china","china","china","china","china","oelpreis","dollar","china","china","usa","china","china","china","usa","dollar","china","china","china","usa","gold","gold","gold","gold","gold","china","gold","gold","gold","china","china","china","dollar","china","usa","dollar","china","dollar","dollar","china","dollar","china","china","dollar","china","gold","china","gold","china","china","dollar","china","china","dollar","dollar","china","dollar","china","gold","gold","gold","gold","dollar","dollar","gold","dollar","china","gold","gold","dollar","dollar","dollar","dollar","dollar","yuan","china","gold","china","gold","gold","dollar","dollar","dollar","dollar","dollar","china","china","dollar","dollar","dollar","dollar","china","gold","gold","dollar","gold","peking","chinas","dollar","gold","china","dollar","gold","dollar","dollar","china","dollar","japan","gold","mexiko","bitcoins","gold","gold","dollar","gold","china","china","china","gold","dollar","dollar","gold","indien","russland","dollar","dollar","dollar","silber","gold","russland","dollar","russland","russland","china","indien","gold","dollar","dollar","dollar","dollar","china","china","waehrung","dollar","oelpreis","gold","japan","gold","rajan","china","china","wirtschaft","russland","trump","russland","china","trump","gold","waehrung","russland","china","kruegerrand","dollar","to","gold","china","gold","dollar","dollar","bitcoins","dollar","sanktionen","sanktionen","dollar","gold","chinesischen","dollar","russland","dollar","dollar","dollar","gold","bitcoin","buonanno","libra","libra","dollar","bitcoin","rohstoffe","sanktionen","muenzen","dollar","gold","bitcoin","edelmetall","gold","facebook","goldpreis","bitcoin","gold","tonnen","gold","mansa","gold","gold","kryptowaehrungen","coinbase","gold","robinhood","gold","dollar","schroeck","bitcoin","kryptowaehrungen","kryptowaehrungen","kryptowaehrungen","bitcoin","dollar","superfoods","tendenz","tube","gold","handelsblatt","ethereum","tonnen"
"3","landung","wirtschaft","usa","japan","usa","japan","japan","rezession","rezession","japan","rezession","japan","usa","usa","rezession","usa","gold","gold","gold","usa","usa","japan","deflation","usa","usa","irak","irak","usa","usa","deflation","nachfrage","usa","usa","hatzius","usa","china","usa","bush","chinas","usa","usa","oelpreis","usa","gold","usa","oelpreis","usa","china","usa","bush","zinsen","zinsen","usa","usa","yuan","usa","katrina","bush","china","china","china","shiller","usa","usa","usa","indien","gold","bhp","indien","indien","rohstoffe","china","gold","gold","usa","indien","chinas","preis","investoren","hedgefonds","gold","gold","china","chinas","china","gold","dollar","nachfrage","brasilien","nachfrage","nachfrage","gold","gold","china","japan","china","china","china","china","china","brasilien","brasilien","gold","gold","china","china","china","china","chinas","gold","peking","dollar","dollar","dollar","indien","china","china","yuan","gold","gold","peking","chinas","dollar","silber","china","peking","gold","china","gold","peking","peking","indien","dollar","dollar","peking","chinesischen","dollar","regierung","mais","tonnen","china","gold","afrika","gold","dollar","japan","japan","dollar","china","china","gold","dollar","dollar","dollar","dollar","china","schwellenlaender","tonnen","bitcoins","dollar","dollar","brasilien","china","rogers","brasilien","indien","japan","russland","rubel","japan","waehrung","dollar","russland","russland","gold","gold","franken","dollar","gold","oelpreis","oel","china","silber","yen","abe","russland","gold","japanischen","schwellenlaender","china","gold","sanktionen","trump","mexiko","waehrung","rubel","indien","rohstoffe","dollar","china","and","dollar","russland","kryptowaehrungen","franken","gold","bitcoin","russischen","gold","gold","goldpreis","sanktionen","dollar","sanktionen","dollar","ki","rubel","tonnen","dollar","muenzen","schwarzen","facebook","silber","goldpreis","gold","rueth","dollar","dollar","bitcoin","george","edelmetall","russland","russland","stream","diamanten","unze","eck","dollar","kryptowaehrungen","musa","bitcoins","dollar","gold","kryptowaehrungen","kryptowaehrungen","kryptowaehrungen","kryptowaehrungen","nixon","gold","kryptowaehrungen","ethereum","gold","gold","villalobos","kryptowaehrungen","ursprung","dollar","getreide","bitcoin","bitcoin","tonnen","fleisch"
"4","bush","japan","bush","gold","bush","gold","wirtschaft","uswirtschaft","japan","rezession","japan","rezession","japan","new","bush","oelpreis","t","amerikanische","japan","unternehmen","barrel","usa","irak","goldpreis","japan","japan","usa","bush","japan","aufschwung","gold","dollar","china","gold","nachfrage","jahr","prozent","usa","oelpreis","zinsen","oelpreis","usa","japan","preis","barrel","usa","bush","gold","bush","usa","oel","china","yuan","nachfrage","usa","oelpreis","hurrikan","usa","usa","usa","usa","usa","indien","china","china","amerikanische","chinas","gold","gold","rohstoffe","indien","anleger","chinas","indien","risiken","iwf","chinesische","seit","chinas","chinesischen","usa","indien","oel","peking","chinas","usa","chinas","rohstoffe","nachfrage","barrel","oel","chinas","indien","peking","gold","weltweit","brasilien","staaten","peking","chinas","oel","china","chinas","goldpreis","goldpreis","silber","goldpreis","goldpreis","peking","chinas","gold","schwellenlaender","goldpreis","yuan","chinesischen","tonnen","tonnen","gold","peking","chinesische","chinas","gold","peking","gold","goldpreis","indien","yuan","goldpreis","brasilien","dollar","dollar","chinesischen","peking","chinesischen","gold","chinesische","brasilien","indische","brasilien","dollar","goldpreis","chinas","gold","yen","gold","china","indien","japan","japan","silber","chinas","indien","schwellenlaender","indien","rentenmark","opec","waehrung","edelmetall","china","china","brasilien","gold","gold","gold","russland","china","abe","russische","franken","russische","waehrungen","rubel","edelmetall","sanktionen","japan","russland","land","russland","waehrung","russland","oelpreis","gold","russland","gold","waehrung","gold","russland","yen","kuroda","sanktionen","russland","oel","mexiko","china","dollar","china","russischen","rezession","silber","opec","is","china","dollar","tonnen","gold","waehrung","dollar","russland","russland","waehrung","hyperinflation","edelmetall","rubel","hanke","usa","long","edelmetall","edelmetall","aufklaerung","kryptowaehrungen","ukraine","goldpreis","waehrungen","edelmetall","waehrungen","seltenen","russland","edelmetall","fahrzeug","dollar","dollar","putin","paulson","nord","dollar","russland","dollar","barren","emden","bitcoin","kryptowaehrung","kryptowaehrung","kryptowaehrung","armstrong","musk","gold","musk","tonnen","salvador","dollar","angel","kryptowaehrung","bahlsen","credit","nickel","bitcoin","kryptowaehrungen","tonnen","meta","tonnen","dollar","schleich"
"5","barrel","rezession","japanischen","t","goldpreis","rezession","rezession","wirtschaft","weltwirtschaft","gold","zinsen","barrel","rezession","kanada","nachfrage","barrel","unternehmen","japan","amerikanische","zinsen","japan","irak","barrel","bush","irak","oelpreis","japan","rand","dollars","japan","usa","nachfrage","goldpreis","japan","welt","japan","japan","gold","peking","nachfrage","barrel","barrel","zinsen","oel","prozent","barrel","gold","japan","gold","nachfrage","usa","oelpreis","nachfrage","chinas","prozent","prozent","china","china","nachfrage","goldpreis","goldpreis","welt","gold","preis","goldpreis","boersen","usa","usa","usa","gold","gold","rezession","oel","risiken","vergangenen","chinesischen","experten","chinesischen","hedgefonds","chinesische","indien","usa","preis","yuan","goldpreis","chinesische","peking","chinas","preis","oel","indien","peking","rohstoffe","chinas","usa","barrel","billionen","indien","chinas","tonnen","schmersal","goldpreis","chinesen","elerian","tonnen","indien","heller","brasilien","investoren","peking","yuan","indien","yuan","peking","peking","preis","silber","aufwertung","yuan","peking","chinesische","peking","chinas","indien","peking","schwellenlaender","chinesischen","peking","chinas","schwellenlaender","chinas","chinesische","chinas","regierung","dollar","yuan","silber","dollar","gold","chinas","chinas","brasilien","usa","usa","yen","yen","chinas","china","wachstum","brasilien","goldpreis","tonnen","brasilien","goldpreis","silber","goldpreis","lira","york","waehrung","tuerkei","indien","japan","brasilien","tuerkei","waehrung","russland","yen","gold","russische","russischen","russland","land","russische","land","edelmetall","schwellenlaender","waehrung","zumpfe","rezession","saudiarabien","russland","oel","waehrung","waehrung","silber","waehrung","abe","kuroda","russland","indien","donald","opec","russland","gold","nutzer","iwf","russen","waehrung","tonnen","franken","of","amazon","weltweit","dollar","kryptowaehrungen","waehrungen","oel","rubel","russische","gibson","kueken","waehrung","russischen","gold","barrel","wirtschaftsentwicklung","opec","diamanten","goldpreis","tonnen","russland","dollar","dollar","belarus","edelmetall","dollar","russische","muenze","edelmetall","russland","goldpreis","dollar","souvenir","gold","schmuck","silber","van","muenzen","farbedelsteine","koenig","kryptowaehrungen","silber","bitcoins","dogecoin","crash","lithium","dollar","unze","rieger","oel","gold","dollar","dollar","uniper","bitcoin","gojibeeren","stable","plastik","kryptowaehrungen","boards","spacs","metzler"
"6","opec","landung","wirtschaft","preise","je","zinsen","new","amerikanischen","gold","new","liquiditaet","weltwirtschaft","nachfrage","bush","amerikaner","preis","preis","dollars","bush","deflation","oelpreis","preise","bush","japan","barrel","deflation","oelpreis","suedafrika","snow","sagt","bush","unternehmen","japan","amerika","bush","gold","rand","japan","rohstoffpreise","japan","oel","irak","bush","china","oelpreis","chinas","zinsen","nachfrage","prozent","prozent","oelpreis","gold","bush","prozent","chinesische","gold","oelpreis","prozent","japan","zinsen","nachfrage","jahr","japan","oelpreis","preis","usa","yuan","preis","tonnen","jahren","nachfrage","jahren","usa","tonnen","preis","gold","gold","je","pro","peking","krise","oel","usa","preis","yuan","chinas","chinesischen","rohstoffen","indien","weltweit","gold","rohstoffe","oel","opec","staaten","nachfrage","tangermann","goldpreis","usa","nachfrage","china","oel","goldpreis","weltweit","edelmetall","chinas","leuschel","investoren","chinesische","chinesische","chinas","chinas","peking","chinesischen","dollar","chinas","yen","chinesische","indien","brasilien","yuan","chinesischen","goldpreis","brasilien","rohstoffpreise","yuan","peking","chinas","schwellenlaender","chinas","goldpreis","gold","indien","chinesische","brasilien","chinas","waehrungen","weltweit","duerre","goldpreis","usdollar","wachstum","brasilien","japans","chinas","waehrungskrieg","yen","usa","brasilien","metalle","indien","schwellenlaender","rupie","preis","waehrung","bitcoins","brasilien","brasilien","russland","brasilien","emerging","japans","schwellenlaender","japan","china","lira","china","oelpreis","oelpreis","china","russische","modi","rubel","wirtschaft","wirtschaft","chinas","wirtschaft","widodo","goldpreis","russische","gold","waehrung","waehrungen","china","japans","swami","japan","wirtschaft","tuerkei","barrel","oel","trump","lira","kobalt","tuerkei","gold","sanktionen","usa","preis","barrel","that","waehrung","solarenergie","bitcoins","bitcoins","kryptowaehrungen","bear","waehrung","rusal","jongun","oliveros","goldpreis","russland","oelpreis","metall","koennten","cfafranc","china","abitur","dollar","graffiti","gua","ukraine","tonnen","libra","erhard","tonnen","stuecke","russland","russische","muenzen","goldpreis","russen","dollar","edelmetall","goldpreis","campbell","goldpreis","allzeithoch","edelmetall","emden","musk","wood","gold","dollar","dombret","opec","preis","zahlungsmittel","baumwolle","lamba","auktionen","kryptomarkt","schweiz","tonnen","spirulina","gold","zahn","lavazza","uniper","kryptowaehrungen","blackrock"
"7","wirtschaft","amerikanischen","rezession","amerikanische","amerikanische","new","gewinne","zinsen","wirtschaft","zinsen","deflation","opec","oel","aktienkurse","aufschwung","t","singapur","uswirtschaft","amerika","weltwirtschaft","krieg","volcker","nachfrage","irak","bush","usa","bush","krieg","wirtschaft","wirtschaft","jahren","aufschwung","welt","china","jahren","wachstum","wirtschaft","aufwertung","usa","gold","opec","zinsen","amerikanischen","usa","wirtschaft","prozent","amerikaner","chinas","amerikaner","chinas","nachfrage","steigende","japan","barrel","indien","chinas","barrel","oelpreis","oelpreis","nachfrage","tonnen","iran","tonnen","goldpreis","jahren","jahren","risiken","london","paulson","nachfrage","rohstoffen","seit","nachfrage","anleger","dhabi","nachfrage","nachfrage","tonnen","fraga","jahren","preis","nachfrage","chinesische","chinesischen","preis","preis","yuan","preise","oel","gold","chinas","nachfrage","investoren","chinesische","indien","goldpreis","tonnen","indiens","waehrungen","london","rohstoffe","russland","oel","oel","brasilien","waehrung","tonnen","preis","brasilien","yuan","chinesische","aufwertung","chinas","chinas","goldpreis","yen","gramm","peking","chinesische","indien","chinesischen","chinesen","tonnen","chinesische","silber","chinas","chinesische","tonnen","preis","chinesischen","chinesische","chinas","brasilien","schwellenlaender","chinesischen","reis","indien","brasilien","wachstum","mais","indien","indien","asien","goldpreis","usa","tonnen","dollar","russland","yen","unze","peking","bitcoins","indiens","russland","silbermuenzen","brasilien","tuerkei","china","indien","japans","markets","usa","regierung","china","gold","usdollar","oelpreis","russlands","waehrung","milliarden","japan","delhi","schwellenlaender","chinesische","russland","yuan","indien","heraeus","preis","rubel","weltwirtschaft","russland","harms","oel","preis","china","waehrung","japans","gold","rohstoffe","rohstoffe","wirtschaft","waehrung","trumps","land","lira","usa","wachstum","waehrungen","russland","are","tonnen","opec","waehrungen","waehrung","kryptowaehrung","goldpreis","russische","ussanktionen","hanke","bitcoin","usa","sanktionen","geldentwertung","sanktionen","technologie","russland","steine","mmt","digitalen","fusion","sha","goldpreis","russland","japans","tan","muenzen","pfund","kennzeichen","oel","kirsch","goldpreise","toman","muenzen","preis","preis","realzinsen","goldreserven","bitcoinkurs","dollar","dollar","preis","sandner","plattform","icahn","stromverbrauch","halbjahr","waehrungen","kryptowaehrungen","dai","of","nickel","ether","gold","palladium","drin","branson","welt","christoph","wasser","update","ruegenwalder"
"8","oelpreis","economy","japans","japanischen","usdollar","economy","bush","japan","oelpreis","unternehmen","amerika","new","deflation","weltwirtschaft","japan","nachfrage","steigende","weltwirtschaft","amerikanischen","wirtschaft","oel","faulen","japan","jahre","rand","t","china","wachstum","aufwertung","unternehmen","wirtschaft","uswirtschaft","bergsten","prozent","zinsen","bush","australien","asien","nachfrage","wirtschaft","chinas","prozent","wirtschaft","oelpreise","weltwirtschaft","nachfrage","nachfrage","oelpreis","chinas","geld","weltwirtschaft","nachfrage","aufwertung","zinsen","amerikanische","oel","oel","katrina","goldpreis","preis","weltwirtschaft","preise","nachfrage","anleger","kupfer","preis","rohstoffe","tonnen","london","erdgas","zeit","preis","chinesische","chinas","indien","chinesische","kupfer","vergangenen","chinesische","chinas","chinas","preis","chinas","nachfrage","indien","yuan","nachfrage","gold","weizen","chinas","schwellenlaender","chinesischen","nachfrage","staaten","peking","oel","krise","waehrung","weltweit","welt","barrel","dollars","chinesischen","chinas","indien","chinesischen","hb","zentralbanken","schwellenlaender","goldpreis","indien","peking","rohstoffe","waehrung","chinesische","russland","chinesische","chinesischen","brasilien","rohstoffe","indien","preis","chinesische","chinas","weltwirtschaft","asien","chinas","preis","goldpreis","brasilien","spekulanten","peking","tonnen","chinas","chinesische","peking","wachstum","rupie","peking","indien","silber","waehrung","wachstum","japan","regierung","edelmetall","gold","edelmetall","silber","usa","schwellenlaender","brasilien","schwellenlaendern","regierung","usa","suedafrika","indien","russland","chinas","investoren","schwellenlaender","russland","waehrung","brasilien","rubel","yen","gold","china","china","asien","moskau","gold","russlands","russischen","abe","peking","russland","putin","rohstoffe","wirtschaft","iran","wirtschaft","china","chinas","land","wirtschaft","land","japan","goldeuro","waehrung","aegypten","barrel","donald","opec","trump","devisen","waehrung","unternehmen","muenze","usa","we","bitcoins","glaeubiger","waehrung","kryptowaehrung","wert","kassenbuch","bitcoin","oel","russland","nordkorea","sovereign","waehrung","russland","ukraine","gold","barrel","dieterich","meidinger","endgame","weeber","edelmetall","mercado","duerr","bitcoins","iwf","banknoten","indien","waehrungen","rogers","russische","preis","emden","bitcoin","silber","edelmetall","meinungen","goldmarkt","widmer","muenzen","digitalwaehrung","menge","preis","dollar","kryptowaehrung","geschaeftsmodell","elon","goldpreis","hackethal","medaillon","proof","sothebys","tonnen","kryptowaehrungen","kommer","tonnen","coins","hafen","dollar","more","ether","markt"
