"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","10.7467","10.9035","11.3726","9.5708","10.741","13.0247","11.7144","15.8814","13.0943","11.7659","15.4622","11.6688","11.6372","15.8009","13.0968","12.3087","13.723","13.7013","13.2537","10.5276","10.1874","7.589","7.6978","7.1952","9.3547","9.7575","9.4442","9.9173","8.6254","10.0875","10.5537","10.1677","8.1259","5.8002","7.5557","7.8394","7.5294","9.3973","10.3163","7.1538","9.2491","8.8096","12.1827","9.1079","8.508","7.7468","8.1869","7.0839","7.9271","6.5837","7.7658","7.2684","9.6398","5.9701","9.8003","8.8885","6.6656","7.3781","6.8423","6.0529","10.2113","9.0431","7.9075","10.4262","7.4462","6.0483","11.1052","11.9747","11.8077","10.8853","14.3065","13.536","14.9326","11.6187","10.2057","13.5411","12.3253","11.0212","12.0384","18.5997","10.4221","14.0904","12.7732","16.4844","14.2817","13.6391","12.6664","14.5224","15.4689","13.9874","15.1139","13.5055","10.5861","12.0716","12.814","14.8762","13.1755","9.5011","12.6672","12.1921","13.441","10.9178","16.1824","15.1522","12.0853","13.7534","13.1333","13.2439","10.7456","10.8364","10.9565","10.0029","8.6134","14.5266","16.4278","13.9591","13.23","13.3006","11.5713","13.4092","16.7709","15.6163","16.2261","14.9421","15.6574","15.2095","14.5359","12.2526","14.0897","13.7033","10.2732","12.3457","16.1334","17.5504","13.4144","15.5818","13.2424","11.7687","11.5724","12.0498","11.1108","12.7111","14.7202","18.199","15.9952","14.2234","9.6752","9.6628","11.2043","10.5005","12.535","15.1285","12.6846","13.7088","12.737","13.0522","15.0576","13.9344","19.1748","12.9815","13.8455","13.9775","14.1508","10.3629","11.2758","13.0422","14.541","12.7648","17.0453","15.7502","12.5692","12.1354","10.8419","15.1491","13.3735","13.6194","15.1693","11.6176","9.7486","14.3628","18.994","12.1908","13.9646","15.2501","13.7116","12.2794","14.9608","14.9666","14.3356","13.1273","10.4466","13.8892","14.3716","15.6085","14.2731","13.1952","18.469","12.4536","15.1294","13.7295","15.9299","15.1427","14.0752","17.7958","15.9542","14.505","11.8554","9.9026","13.1973","14.6831","18.1357","9.7467","17.6938","14.3329","12.8474","14.1708","10.0997","20.1152","13.3827","17.0289","14.4049","16.8929","12.5246","13.4198","12.6434","13.6235","17.1028","16.7276","13.8432","11.5927","12.9535","11.1555","13.3053","14.547","11.4134","8.4296","11.2641","11.5503","11.9797","18.2388","9.3171","10.1313","12.9156","15.6097","10.596","15.0473","15.2322","14.1983","12.4478","13.2118","11.3822","10.8237","13.2573","13.9585","16.2503","14.3653"
"Share (in Promille) on entire corpus","0.0101","0.0113","0.0103","0.0098","0.0118","0.0177","0.0122","0.0136","0.0093","0.0096","0.0123","0.0123","0.011","0.0115","0.0101","0.0112","0.0143","0.0105","0.0111","0.009","0.0072","0.0063","0.0074","0.0074","0.0085","0.0072","0.0064","0.0057","0.008","0.0087","0.0067","0.0055","0.0057","0.0035","0.0059","0.0061","0.006","0.0075","0.007","0.0061","0.0097","0.01","0.0099","0.0066","0.007","0.0063","0.0059","0.0063","0.0064","0.0047","0.0066","0.0064","0.0072","0.0042","0.0065","0.007","0.0064","0.0095","0.0075","0.0053","0.0079","0.0061","0.0067","0.0098","0.0074","0.0059","0.0071","0.0101","0.0096","0.0082","0.0109","0.0103","0.012","0.0095","0.0083","0.0103","0.0086","0.0085","0.0089","0.0158","0.0094","0.014","0.0136","0.0213","0.0186","0.015","0.0164","0.0222","0.0245","0.0253","0.0291","0.0212","0.014","0.0124","0.0112","0.0138","0.0109","0.0084","0.0114","0.0117","0.0116","0.0104","0.012","0.0099","0.0082","0.0088","0.0075","0.0095","0.0091","0.0102","0.0104","0.0103","0.0099","0.015","0.0098","0.0115","0.0121","0.0121","0.0137","0.0173","0.0241","0.0227","0.0227","0.0212","0.0152","0.0176","0.0154","0.0149","0.0168","0.0163","0.0146","0.0153","0.0187","0.0171","0.0139","0.0194","0.0135","0.0115","0.0121","0.0152","0.0152","0.0143","0.0154","0.0182","0.0203","0.016","0.009","0.0112","0.0117","0.0107","0.0123","0.0151","0.0101","0.0135","0.0159","0.0128","0.016","0.0125","0.016","0.0133","0.0126","0.0146","0.0138","0.0115","0.0096","0.0122","0.0147","0.0138","0.0225","0.0153","0.0114","0.0074","0.0081","0.0131","0.01","0.0114","0.0128","0.009","0.0073","0.015","0.0171","0.0087","0.012","0.0138","0.0112","0.0079","0.0107","0.0108","0.0108","0.0093","0.0097","0.0119","0.019","0.0142","0.013","0.0121","0.0132","0.0106","0.0111","0.0121","0.0134","0.0109","0.0114","0.0131","0.0159","0.014","0.0082","0.007","0.0107","0.0122","0.0164","0.0096","0.0171","0.0124","0.009","0.0088","0.0061","0.0125","0.0075","0.0124","0.0077","0.0134","0.0116","0.0114","0.0099","0.0087","0.0084","0.0125","0.0097","0.0076","0.0046","0.0061","0.0072","0.0082","0.006","0.0068","0.0084","0.0077","0.0072","0.0126","0.0068","0.0085","0.015","0.0121","0.0124","0.0206","0.0175","0.0158","0.0171","0.0265","0.0213","0.0198","0.0324","0.0282","0.0348","0.0421"
"1","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","milch","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","euro","euro","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","euro","prozent","prozent","prozent","prozent","prozent","prozent","prozent","mindestlohn","munich","prozent","euro","prozent","prozent","prozent","prozent","prozent","euro","euro","euro","euro","prozent","euro","wohnungen","euro","euro","wohnungen","mieten","euro","euro","euro","euro","prozent","millionen","prozent","euro","euro","euro","euro","arbeitgeber","euro","euro","prozent","euro","euro","preise","euro","euro","prozent","euro","euro","preise","prozent","euro","prozent","preise","prozent","prozent"
"2","dezember","januar","wachstum","maerz","april","quartal","juni","juli","august","september","eurozone","november","preise","januar","februar","maerz","april","mai","mai","juli","august","september","oktober","november","dezember","dezember","februar","maerz","april","mai","juni","juli","august","eurozone","oktober","november","quartal","januar","februar","quartal","april","mai","juni","quartal","quartal","wachstum","oktober","november","jahr","quartal","februar","maerz","quartal","mai","quartal","anstieg","deutschland","september","wachstum","november","jahr","quartal","anstieg","jahr","jahr","jahr","wachstum","preise","jahr","jahr","jahr","preise","jahr","jahr","sagte","iwf","preise","jahr","preise","prozent","preise","preise","preise","verbraucher","verbraucher","euro","preise","jahr","preise","jahr","verbraucher","preise","euro","verbraucher","preise","jahr","preise","preise","jahr","preise","preise","preise","preise","preise","preise","bahn","preise","preise","jahr","jahr","preise","jahr","preise","preise","preise","preise","jahr","jahr","preise","jahr","preise","preise","preise","preise","jahr","jahr","guelle","mio","jahr","jahr","euro","jahr","jahr","jahr","jahr","jahr","preise","preise","jahr","preise","preise","jahr","jahr","jahr","jahr","jahr","preise","jahr","bmw","preise","deutschland","preise","jahr","preise","post","jahr","preise","jahr","jahr","jahr","euro","jahr","jahr","preise","euro","euro","jahr","euro","jahr","preise","euro","jahr","millionen","jahr","jahr","preise","jahr","jahr","euro","euro","jahr","euro","euro","euro","euro","euro","euro","euro","prozent","prozent","euro","euro","euro","euro","euro","berlin","einkommen","euro","prozent","loehne","jahr","jahr","wohnungen","euro","euro","deutschland","prozent","re","deutschland","prozent","euro","euro","euro","euro","euro","prozent","prozent","prozent","preise","euro","wohnungen","mieten","stadt","wohnungen","euro","mietendeckel","prozent","pro","mieten","prozent","vonovia","masken","mieter","mieten","mieten","prozent","prozent","beschaeftigten","prozent","einkommen","preise","prozent","prozent","euro","mieten","preise","preise","preise","preise","prozent","preise","prozent","euro","prozent","preise","preise"
"3","jahr","dezember","januar","jahr","quartal","mai","mai","rueckgang","quartal","august","jahr","quartal","januar","gestiegen","januar","eurozone","quartal","april","juni","juni","juli","august","eurozone","deutschland","preise","januar","januar","februar","quartal","april","mai","juni","juli","september","quartal","anstieg","dezember","dezember","jahr","maerz","quartal","april","mai","juli","august","september","september","anstieg","quartal","jahr","wachstum","quartal","april","anstieg","juni","quartal","juli","anstieg","quartal","jahr","anstieg","jahr","gestiegen","wirtschaft","wachstum","teuerungsrate","wirtschaft","quartal","wachstum","deutschland","preise","jahr","sanktjohanser","deutlich","deutlich","jahr","jahr","preise","milch","preise","verbraucher","jahr","verbraucher","preise","jahr","preise","jahr","preise","jahr","preise","preise","verbraucher","preise","preise","sagte","preise","jahr","verbraucher","preise","jahr","vorjahr","mietspiegel","vergleich","jahr","jahr","preise","verbraucher","staedten","preise","preise","jahr","preise","jahr","jahr","inflationsrate","jahr","preise","preise","jahr","preise","jahr","jahr","jahr","jahr","preise","preise","plus","jahr","preise","quartal","jahr","preise","deutlich","metall","sagte","quartal","jahr","jahr","juni","jahr","jahr","quartal","quartal","plus","plus","preise","jahr","deutschland","jahr","jahr","jahr","jahr","milliarden","jahr","preise","euro","jahr","verbraucher","preise","deutschland","jahr","preise","euro","jahr","preise","preise","preise","jahr","verbraucher","jahr","jahr","euro","jahr","preise","preise","quartal","preise","milliarden","steigen","jahr","deutschland","preise","wohnungen","angebot","jahr","zahlen","wohnungen","jahr","jahr","preise","preise","jahr","jahr","wohnungen","preise","deutschland","euro","mietpreisbremse","wohnungen","millionen","deutschland","einkommen","jahr","jahr","jahr","euro","arbeitnehmer","jahr","euro","jahr","mieter","deutschland","wohnungen","mehr","geburtenrate","jahr","preise","grundsteuer","prozent","mieten","mietpreisbremse","prozent","wohnungen","prozent","prozent","berlin","jahr","prozent","prozent","cent","euro","jahr","euro","wohnungen","prozent","jahr","preise","verdi","preise","prozent","euro","preise","mieten","prozent","wohnungen","wohnungen","euro","mieten","wohnungen","euro","euro","preise","preise","euro","euro","euro"
"4","november","eurozone","februar","eurozone","maerz","april","deutschland","quartal","eurozone","rueckgang","quartal","oktober","inflationsrate","preise","eurozone","februar","verbraucher","deutschland","preise","quartal","wachstum","wachstum","deutschland","wachstum","gestiegen","gestiegen","eurozone","oecd","deutschland","quartal","deutschland","deutschland","eurozone","quartal","september","jahr","wachstum","eurozone","januar","anstieg","gestiegen","anstieg","eurozone","deutschland","deutschland","jahr","quartal","wachstum","wachstum","bip","jahr","wachstum","maerz","eurozone","anstieg","juli","juni","gestiegen","deutschland","anstieg","deutschland","anstieg","wachstum","wachstum","vorjahr","preise","deutschland","wachstum","preise","quartal","mehrwertsteuererhoehung","mehrwertsteuererhoehung","mehrwertsteuererhoehung","preise","iwf","preise","sagte","deutschland","cent","cent","jahr","cent","jahr","jahr","sagte","jahr","euro","verbraucher","verbraucher","euro","energie","sagte","jahr","jahr","umsatz","verbraucher","deutlich","gestiegen","verbraucher","verbraucher","euro","euro","mai","ersten","halbjahr","vergleich","jahr","jahr","deutschland","deutschland","anstieg","inflationsrate","post","verbraucher","jahr","verbraucher","deutlich","wohnungen","verbraucher","deutschland","inflationsrate","preissteigerungen","euro","deutschland","euro","kunden","jahr","quartal","deutlich","verbraucher","mrd","euro","zahl","ig","deutschland","deutschland","quartal","euro","preise","halbjahr","quartal","preise","preise","preise","quartal","millionen","plus","preise","quartal","stark","juni","milliarden","euro","verbraucher","quartal","deutlich","plus","vorjahr","euro","preise","oecd","euro","deutschland","verbraucher","jahr","jahr","euro","preise","euro","verbraucher","verbraucher","milliarden","euro","deutschland","deutschland","jahr","euro","preise","preise","kommenden","deutschen","jahr","deutschland","jahr","millionen","steigen","jahr","steigen","berlin","einkommen","vermieter","bundesregierung","deutschland","jahr","jahr","preise","jahr","berlin","jahr","verbraucher","wohnungen","arbeitnehmer","preise","milliarden","mieten","beschaeftigten","deutschland","prozent","mehr","baukindergeld","arbeitnehmer","deutschen","jahr","vermieter","pro","mieter","wohnriester","preise","jahr","jahr","mieter","euro","mieten","wohnung","mieten","prozent","pro","wohnungen","zahlen","mindestlohn","wohnungen","opmasken","mieten","preise","mieter","einkommen","muenchen","prozent","metall","preise","bundesregierung","wohnungen","quadratmeter","immobilie","holz","quadratmeter","wohnen","prozent","mieten","jahr","sagt","arbeitnehmer","jahr","jahr","cent","einkommen"
"5","wachstum","quartal","eurozone","februar","vormonat","wachstum","quartal","deutschland","juli","vormonat","oktober","rueckgang","dezember","februar","deutschland","anstieg","preise","eurozone","vormonat","deutschland","deutschland","preise","wachstum","jahr","deutschland","jahr","deutschland","deutschland","rueckgang","wachstum","gestiegen","eurozone","wachstum","gestiegen","jahr","preise","teuerung","wachstum","anstieg","wachstum","maerz","quartal","anstieg","wachstum","eurozone","deutschland","deutlich","oktober","gegenueber","januar","januar","deutschland","oecd","april","zweiten","eurozone","jahr","deutschland","jahr","deutschland","wachstum","gegenueber","jahr","konsum","preise","wachstum","angaben","verbraucher","deutschland","wachstum","wachstum","verbraucher","deutlich","quartal","preise","rund","deutschland","mrd","plus","verbraucher","sagte","eon","preissteigerungen","deutschland","preise","sagte","deutschland","euro","euro","verbraucher","jahr","euro","deutschland","euro","euro","euro","vorjahr","inflationsrate","mio","seit","mio","mai","minus","quartal","monaten","jahr","kommenden","eigentumswohnungen","inflationsrate","millionen","stiegen","anstieg","euro","inflationsrate","euro","juli","juli","euro","vorjahr","kommenden","deutschland","verbraucher","verbraucher","plus","april","rund","rechnen","mrd","quartal","mrd","mio","industrie","vorjahr","branche","preise","sagte","konzern","deutschland","vergleich","quartal","bahn","september","kommenden","deutschland","euro","loehne","euro","plus","milliarden","deutschland","anstieg","verbraucher","preise","plus","jahr","preise","nachfrage","millionen","deutschland","millionen","deutschland","plus","preise","deutschland","entwicklung","post","deutlich","nachfrage","preise","vergangenen","preise","pro","post","steigen","millionen","euro","deutlich","deutschland","deutlich","verbraucher","konsum","milliarden","jahr","kommunen","milliarden","milliarden","millionen","millionen","einkommen","quartal","mieter","progression","milliarden","milliarden","mehr","euro","vermieter","preise","pro","jahr","zahl","deutschland","mieter","jahren","spd","arbeitnehmer","einkommen","deutschland","vorjahr","scholz","jahr","jahr","wohnungsbau","gestiegen","jahr","arbeitnehmer","vpb","mieten","zehn","steigen","prozent","muenchen","sozialwohnungen","berlin","miete","euro","bundesregierung","mieten","jahr","einkommen","jahr","euro","vermieter","prozent","miete","preise","sagt","einkommen","kosten","wohnungen","laut","pro","preise","wohnungen","preise","prozent","mieten","vorjahr","prozent","quadratmeter","jahr","teurer","einkommen","teurer","pro","jahr"
"6","vormonat","wachstum","jahr","deutschland","wachstum","deutschland","jahr","juni","zweiten","quartal","september","jahr","jahr","dezember","preise","deutschland","maerz","anstieg","gestiegen","jahresvergleich","ifw","vormonat","jahr","eurozone","november","wachstum","wachstum","wachstum","mai","eurozone","april","august","inflationsrate","august","eurozone","quartal","wirtschaft","lag","eurozone","februar","eurozone","wachstum","gestiegen","juni","gestiegen","juli","jahr","quartal","dezember","gestiegen","volkswirte","februar","wachstum","oecd","preise","zweiten","heizoel","eurozone","eurozone","gestiegen","quartal","vierten","januar","prozentpunkte","wirtschaft","vorjahr","jahr","deutschland","verbraucher","bip","rund","arbeitsmarkt","preise","sagte","vergangenen","stieg","seien","sagte","sagte","sagte","preissteigerungen","preissteigerungen","benzin","rund","mehr","deutlich","stiegen","deutschland","sagte","sagte","preissteigerungen","deutschland","preissteigerungen","preissteigerungen","jahr","einzelhandel","preissteigerungen","jahr","vorjahr","sagte","vergleich","jahr","verbraucher","gestiegen","inflationsrate","millionen","cent","plus","diw","vorjahr","seit","kunden","vorjahr","teurer","gestiegen","mio","entwicklung","stiegen","seit","loehne","verbraucher","euro","deutschland","unternehmen","vergleich","millionen","preise","juli","wachstum","preise","plus","deutlich","plus","arbeitnehmer","mio","gestiegen","vergangenen","deutlich","mai","millionen","euro","wachstum","seit","rund","preise","deutschland","millionen","loehne","konzern","exporte","quartal","deutschland","anstieg","quartal","dritten","rund","stiegen","laut","sagte","entwicklung","preise","deutschland","pro","quartal","deutschland","millionen","verbraucher","steigen","plus","euro","deutschland","quartal","deutlich","euro","juni","mehr","gestiegen","quartal","rente","steigen","bundesamt","deutschland","milliarden","metall","arbeitgeber","jahr","preise","preise","deutschland","zahlen","miete","milliarden","wohnungen","mieten","millionen","jahr","milliarden","wohnungen","stadt","gestiegen","parteien","loehne","phoenix","einkommen","wohnungen","mieten","branchen","mehr","mieten","familien","wohnungen","bund","mieten","plus","preise","deutlich","einkommen","milliarden","wohnungen","einkommen","jahr","stadt","pro","mieten","mietendeckel","wohnungen","verbraucher","mieter","pro","zahlen","deutschland","zahlen","mietpreisbremse","wohnen","wohnungen","einzelhandel","immobilien","euro","cent","zahlen","zahlen","mieten","berlin","quadratmeter","prozent","stadt","wohnungen","pro","nachfrage","mieten","rund","jahr","teurer","haushalte","jahr","teurer"
"7","anstieg","anstieg","rueckgang","prognose","mai","jahr","wachstum","vormonat","rueckgang","deutschland","rueckgang","september","wachstum","wachstum","vormonat","preise","teuerungsrate","rueckgang","volkswirte","vormonat","quartal","gestiegen","preise","preise","eurozone","rueckgang","jahr","vormonat","wachstum","lag","anstieg","preise","preise","anstieg","gegenueber","gestiegen","gegenueber","verbraucherpreise","quartal","konsum","wachstum","jahr","juli","zweiten","wachstum","eurozone","gestiegen","jahr","november","wachstum","erwartet","anstieg","eurozone","wachstum","deutschland","gestiegen","prognose","inflationsrate","september","quartal","eurozone","deutschen","quartal","institute","deutschland","deutschland","juli","jahr","stieg","preise","verbraucher","brachinger","deutschland","januar","preissteigerungen","vorjahr","deutschen","seien","deutlich","butter","seien","strom","rund","preissteigerungen","preissteigerungen","rund","gestiegen","umsatz","deutschland","energie","mehr","jahr","aldi","deutlich","branche","durchschnittlich","verbraucher","branche","euro","pro","deutlich","seit","jahr","halbjahr","deutschland","verbraucher","arbeitsmarkt","verbraucher","studie","plus","plus","vorjahr","inflationsrate","pro","wohnungen","gestiegen","anstieg","kommenden","euro","euro","dezember","energie","februar","euro","mio","aufschwung","deutschland","vorjahr","mio","deutschland","quartal","november","mrd","vergangenen","plus","mrd","mio","studie","inflationsrate","juni","inflationsrate","inflationsrate","rund","kommenden","millionen","plus","rund","quartal","deutschland","gestiegen","inflationsrate","juli","deutschland","bahn","umsatz","quartal","inflationsrate","milliarden","millionen","euro","plus","mitteilte","rund","teurer","deutlich","steigen","zufolge","deutschland","deutschland","millionen","zuletzt","erwartet","quartal","schnitt","euro","zufolge","verbraucher","deutlich","gesetzliche","gestiegen","plus","metall","quadratmeter","arbeitgeber","beschaeftigten","deutschland","milliarden","berlin","milliarden","jahr","mieten","einkommen","preise","steigen","vergangenen","milliarden","mehr","deutschen","rente","deutschland","vergangenen","jahren","aufschwung","arbeitnehmer","einkommen","deutschen","jahr","euro","jahr","einkommen","mieten","ersten","plus","preise","kindern","vermieter","jahr","haushalte","arbeitnehmer","preise","miete","staedten","bahn","quadratmeter","quadratmeter","berliner","zahlen","preise","berlin","jahr","mieten","prozent","jahr","mieter","wohnungsmarkt","deutschen","daten","kommunen","einkommen","studie","kosten","studie","kaeufer","deutschen","haus","muenchener","nachfrage","staedten","deutschen","pro","muenchen","deutschen","miete","eegumlage","liter","mehr"
"8","bip","rueckgang","deutschland","anstieg","deutschland","eurozone","monaten","august","deutschland","plus","wachstum","bip","quartal","eurozone","gestiegen","april","anstieg","inflationsrate","eurozone","gestiegen","jahr","eurozone","quartal","oktober","jahr","deutschland","gestiegen","inflationsrate","anstieg","deutschland","wachstum","entwicklung","jahr","bip","wachstum","oktober","anstieg","quartal","gestiegen","plus","anstieg","deutschland","preise","august","jahr","gestiegen","wachstum","deutschland","deutschland","vierten","bip","jahr","jahr","deutschland","eurozone","juni","wachstum","wachstum","oecd","preise","vergleich","vorjahr","eurozone","mehrwertsteuererhoehung","anstieg","lag","chinas","lag","mehrwertsteuererhoehung","zahl","rueckgang","deutschland","vergangenen","mehrwertsteuererhoehung","etwa","mehrwertsteuer","diekmann","aufschwung","butter","teurer","nachfrage","rwe","nachfrage","euro","vergangenen","vorjahr","deutlich","lebensmittel","mehr","deutschland","sagte","preissteigerungen","lidl","deutschen","quartal","kunden","rueckgang","anstieg","rueckgang","mio","inflationsrate","gestiegen","konsum","minus","verbraucher","pro","steigen","november","verbraucher","konsum","euro","deutlich","anstieg","deutlich","deutlich","sagte","unternehmen","schnitt","sagte","angaben","anstieg","teuerungsrate","oelpreis","anstieg","mrd","umsatz","industrie","ersten","sagte","plus","millionen","energie","preise","mrd","vergangenen","wachstum","preissteigerungen","mrd","sagte","deutschland","vergleich","plus","deutschland","erwartet","deutschland","zufolge","verbraucher","deutlich","daimler","bundesamt","mehr","vergleich","vergleich","duesseldorf","euro","verbraucher","anstieg","preise","rund","konzern","gestiegen","pfund","seit","euro","plus","pro","quartal","kaufkraft","haushalte","mehr","deutlich","zufolge","mindestlohn","verbraucher","plus","studie","post","steigen","jahr","deutlich","euro","ig","haushalte","ig","post","pro","quadratmeter","pro","wohnungen","berlin","deutschen","jahren","muenchen","deutschland","deutschland","allerdings","schaeuble","pro","milliarden","euro","stark","euro","deutschland","deutschland","mehr","jahr","euro","mieten","zuwanderung","milliarden","loehne","preise","fisch","jahr","deutlich","pro","mehr","bundesregierung","preis","mehr","studie","quadratmeter","prozent","airbnb","jahren","pro","gruenen","jahr","milliarden","arbeitnehmer","konzern","pro","wohnungen","quadratmeter","pro","zahlen","einkommen","dienst","tarifrunde","pro","kliniken","frosta","jahr","wohnung","mietendeckel","wohnung","holz","gestiegen","berlin","muenchen","wohnungen","verbraucher","sagt","mehr","teurer","sagt"
