"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","8.3066","12.7979","13.8252","12.7615","7.7983","8.4539","11.2164","10.5144","6.9477","5.7863","8.1501","11.2271","12.6128","14.2888","12.67","11.5539","9.7857","12.1274","9.2046","12.1688","10.379","14.5002","6.4958","9.1242","10.8408","7.4344","5.6523","12.6435","8.1543","8.6246","7.6304","6.9155","8.5006","11.3243","8.0316","7.2208","7.5861","8.2603","8.7826","9.4985","7.0055","6.4345","6.3351","7.2287","10.3317","7.0589","4.7531","6.5771","6.0819","6.9513","6.6173","6.5779","6.0126","6.2713","5.6887","6.0265","7.2819","5.6246","6.2692","6.5582","5.2964","4.8803","7.3811","8.5996","8.5238","8.0811","6.2754","4.7782","9.3524","6.7271","7.2177","8.5803","8.1255","6.7292","10.5892","7.0771","8.8826","7.5624","8.6217","8.1933","9.2156","8.7521","7.5993","8.2867","4.765","7.6188","11.8924","11.1069","7.9278","7.9597","7.9943","9.8295","10.3986","8.4872","8.8428","7.53","7.8099","11.9259","6.0885","5.8726","7.0986","9.7259","5.0091","5.7497","4.7439","5.2246","3.8256","6.5544","10.1246","6.8429","6.567","6.8047","6.345","6.1432","8.0974","5.1789","7.3123","8.5125","6.5359","8.7966","8.5057","8.7108","5.37","5.6924","4.6476","6.2375","6.0608","5.3998","5.063","8.5126","4.9506","6.4415","8.5702","7.407","7.5183","7.6711","4.9917","6.9211","5.8822","5.7951","5.2498","8.5126","7.7649","6.8659","5.9451","4.9644","8.2135","8.5776","6.489","12.096","6.3453","5.8684","5.5545","9.7086","4.8649","4.0915","8.5491","6.2042","6.6984","7.7529","6.0261","6.6632","5.753","9.6598","7.1293","7.5773","4.7009","5.171","4.5117","7.401","8.7711","6.3597","7.6255","5.5966","5.2926","6.7849","4.4824","8.763","7.3362","10.5373","5.5122","8.9577","3.9766","7.4628","7.5252","5.3911","7.9833","5.166","3.9975","8.4786","6.725","6.9571","5.4362","5.8491","6.2764","11.9524","10.7004","6.0954","5.9791","5.4901","4.722","4.5756","6.5541","6.0513","12.3505","5.4905","10.3433","4.2158","11.4836","14.854","12.8623","23.9815","12.3766","9.6762","7.7233","3.8372","7.068","11.6494","7.7106","10.5548","10.1663","9.7448","8.1332","7.3617","7.2627","10.4703","5.7021","5.4124","8.5003","9.7691","2.9293","5.2187","3.4517","6.6925","8.9214","8.24","5.7951","7.3721","8.5072","5.417","5.4306","4.9996","5.1765","7.8307","3.3222","6.3636","4.1948","9.1289","6.8796","8.9402","9.7541","9.9562","10.0381","11.1808","11.9393","10.6363","9.8643","8.8367","10.6477","8.3429","10.5011","11.9995","11.693","8.6327","8.8451","11.7179","8.4292","8.9939","13.3653","10.3611","9.2531","9.2897"
"Share (in Promille) on entire corpus","2.0322","3.4892","3.3185","3.6036","2.1478","2.8608","3.1434","2.4384","1.3073","1.245","1.669","3.3884","3.2386","2.5243","2.6108","2.675","2.5325","2.2867","2.0076","2.7996","1.9109","3.3715","1.6553","2.5539","2.5674","1.4146","0.991","1.8366","1.9831","1.9007","1.2777","0.8682","1.5915","1.8741","1.6059","1.3574","1.6086","1.7724","1.4394","2.0068","1.8243","1.841","1.1662","1.321","2.063","1.6432","0.9014","1.5571","1.3504","1.2437","1.3995","1.4785","1.059","1.1809","0.9682","1.2748","1.9097","1.859","1.7951","1.5491","1.0303","0.8085","1.5281","1.9685","2.222","1.9906","1.0773","1.0298","2.019","1.4214","1.4545","1.797","1.7443","1.5611","2.3694","1.446","1.6858","1.5889","1.8403","1.7458","2.4519","2.4539","2.3563","2.8425","1.6732","2.1164","4.2775","4.5512","3.4183","3.5857","3.7814","4.1288","3.8722","2.7874","2.3372","2.185","1.9072","3.0369","1.6716","1.7399","1.7744","2.7575","1.0823","1.1799","0.9531","0.9458","0.652","1.3175","2.4053","1.8434","1.8324","2.1639","2.3696","1.7471","1.551","1.3486","2.0928","2.3414","2.318","3.7641","3.6463","3.7903","2.3322","2.5015","1.3706","2.1859","1.9982","2.1482","1.9407","3.3576","2.3802","2.7685","3.2426","2.4827","2.6493","3.0153","1.8805","2.1967","2.2706","2.5454","2.4953","3.2731","2.5488","2.2728","2.4093","1.7425","3.0682","3.6871","2.3549","4.2671","2.1406","1.7844","1.4757","3.4548","1.8951","1.4456","2.8149","1.716","1.7671","2.465","1.8446","2.2958","2.0654","3.6392","1.8629","2.5464","1.611","1.8015","1.9729","2.4734","2.5732","1.4308","2.0551","1.6274","1.4466","1.9084","1.1516","2.1987","1.7247","3.8386","1.5917","2.5988","1.1955","2.4379","2.1944","1.2826","2.3797","1.3118","1.0391","2.2967","2.2594","2.2269","2.5287","2.1408","1.9598","3.8267","2.8393","1.903","1.7119","1.7153","1.5458","1.2396","2.1642","1.7333","4.7609","2.0636","2.6839","1.0549","3.4778","4.9103","4.3589","8.6865","4.3596","3.2779","2.2487","0.9662","1.7247","2.7682","1.847","2.9902","2.3866","3.1233","2.9318","2.5855","2.4453","3.0178","1.0881","1.7536","2.5581","2.6939","0.444","1.2246","0.8959","1.9752","1.7071","2.599","1.5266","2.1458","2.2819","1.6198","1.7226","1.7665","2.2723","2.6138","1.6272","3.4824","1.8947","4.2613","3.9881","7.7494","8.0516","7.8625","10.9906","9.832","11.5221","13.0469","15.2932","15.8151","20.1828","15.5853","20.5384","20.8847","20.2035","14.4788","14.6954","17.5984","11.6168","12.4402","18.2308","12.3954","12.5277","13.0971"
"1","regierung","regierung","regierung","tuerkei","regierung","regierung","regierung","regierung","regierung","regierung","regierung","argentinien","argentinien","regierung","regierung","regierung","regierung","regierung","iwf","brasilien","regierung","lula","tuerkei","tuerkei","regierung","regierung","regierung","polen","regierung","regierung","regierung","regierung","iwf","tuerkei","tuerkei","regierung","regierung","regierung","regierung","lula","regierung","tuerkei","regierung","berlusconi","tuerkei","tuerkei","regierung","tuerkei","regierung","tuerkei","regierung","regierung","regierung","regierung","regierung","lula","regierung","regierung","tuerkei","argentinien","regierung","regierung","land","regierung","land","garcia","regierung","regierung","brown","lula","chavez","land","russland","regierung","mugabe","mugabe","mugabe","regierung","erdogan","regierung","simbabwe","kirchner","chávez","mugabe","regierung","putin","mugabe","mugabe","putin","mugabe","regierung","land","regierung","land","chávez","mugabe","ukraine","chávez","ahmadinedschad","regierung","ahmadinedschad","ahmadinedschad","ortega","mugabe","regierung","simbabwe","zuma","rekorde","regierung","chávez","land","land","land","regierung","afghanistan","land","chávez","kirchner","russland","russland","lula","aegypten","regierung","regierung","land","land","chávez","bo","perry","kirchner","briten","land","iran","iran","putin","argentinien","chávez","iwf","iran","regierung","regierung","chávez","cameron","abe","regierung","tuerkei","chávez","thatcher","sidi","brasilien","mursi","kirchner","summers","kirchner","musa","brasilien","regierung","maduro","venezuela","regierung","de","argentinien","argentinien","argentinien","argentinien","rousseff","putin","putin","land","kirchner","ukraine","buhari","georgien","kirchner","ukraine","brasilien","brasilien","kirchner","macri","venezuela","putin","ukraine","argentinien","argentinien","maduro","venezuela","macri","brasilien","tuerkei","panama","trump","macri","erdogan","praesident","tuerkei","maduro","iran","land","maduro","maduro","land","tuerkei","mugabe","venezuela","iran","maduro","maduro","tuerkische","erdogan","erdogan","erdogan","tuerkei","tuerkei","tuerkei","tuerkische","tuerkei","venezuela","maduro","erdogan","tuerkei","iran","iran","tuerkei","land","land","tuerkei","iran","land","land","lira","erdoğan","tuerkei","ceilândia","regierung","lira","lira","tuerkei","lira","lira","praesident","argentinien","lira","lira","lira","land","raisi","tuerkei","regierung","taliban","lira","lira","lira","biden","russland","russland","russland","russland","biden","johnson","truss","truss","truss","trump","biden","regierung","biden","ukraine","biden","erdogan","tuerkei","partei","trump"
"2","land","tuerkei","cavallo","iwf","labour","land","brasilien","argentinien","land","tuerkei","land","regierung","regierung","peso","argentinien","iwf","land","brasilien","regierung","regierung","iwf","regierung","akp","regierung","land","brasilien","djindjic","regierung","land","forint","fox","brasilien","regierung","regierung","regierung","land","tuerkei","tuerkei","brown","iwf","tuerkei","regierung","prozent","regierung","regierung","regierung","tuerkei","regierung","land","regierung","land","prozent","tuerkei","land","land","pt","putin","tuerkei","prozent","land","land","juan","regierung","land","regierung","humala","tuerkei","land","regierung","brasilien","schacht","russland","weissrussland","land","land","regierung","regierung","brown","tuerkei","simbabwe","mugabe","cristina","putin","simbabwe","praesident","medwedjew","wahl","simbabwe","mugabe","regierung","mugabe","russland","mugabe","russland","praesident","simbabwe","land","mugabe","chatami","land","land","kirchner","praesident","land","iran","mugabe","land","won","chávez","land","regierung","argentinien","landes","opposition","taliban","regierung","lula","land","regierung","regierung","regierung","regierung","land","land","kolumbien","partei","argentinien","semprun","obama","argentinien","putin","wulff","land","thatcher","iran","kirchner","tsipras","regierung","regierung","praesidenten","chávez","romney","eu","partei","chávez","arabischen","venezuela","chávez","de","land","aegypten","regierung","obama","maduro","iran","iran","argentinien","regierung","maduro","rousseff","land","de","land","erdogan","rousseff","silva","ukraine","notare","praesidentin","argentinien","krim","praesident","land","land","iran","praesidentin","olexander","land","argentinien","maduro","de","land","obama","rousseff","venezuela","bolivar","tuerkei","tuerkei","temer","varela","praesident","land","trump","trump","israel","erdogan","land","venezuela","venezuela","chávez","maduro","tuerkische","venezuela","maduro","proteste","land","petro","lira","lira","tuerkei","tuerkei","erdogan","erdogan","lira","macri","erdogan","maduro","venezuela","tuerkei","tuerkische","istanbul","istanbul","erdogan","regierung","macri","tuerkische","praesident","fernández","tuerkei","land","tuerkei","istanbul","hauptstadt","brasilien","tuerkei","tuerkische","lira","tuerkische","tuerkische","regierung","argentinier","tuerkei","erdogan","tuerkei","tuerkei","land","tuerkische","taliban","afghanistan","tuerkei","tuerkei","tuerkische","russland","russische","putin","putin","ukraine","russland","russland","ukraine","johnson","partei","biden","russland","ukraine","ukraine","regierung","trump","tuerkei","partei","biden","land"
"3","brasilien","lira","tuerkei","regierung","blair","blair","land","land","stoltenberg","land","prozent","dollar","peso","dollar","iwf","argentinien","argentinien","argentinien","argentinien","argentinien","lula","brasilien","regierung","eu","lula","fukui","land","menem","kroatien","lula","land","russland","tuerkei","land","land","brown","land","mrd","tuerkei","land","land","land","gcab","tuerkei","land","land","prozent","tuerkische","brasilien","land","mugabe","iwf","prozent","prozent","brasilien","regierung","iwf","prozent","land","brasilien","mrvp","madrid","litauen","eu","tuerkei","land","polen","argentinien","lula","polen","regierung","regierung","regierung","iran","tsvangirai","simbabwe","simbabwe","mugabe","mugabe","mugabe","regierung","argentinien","regierung","regierung","land","musharraf","makoni","regierung","medwedjew","land","land","mugabe","spoe","regierung","regierung","land","chávez","simbabwe","praesident","alfonsín","iran","mussawi","cardenal","tsvangirai","simbabwe","land","regierung","gaidar","land","regierung","suedafrika","regierung","estland","land","regierung","russlands","regierung","regierung","land","iran","rousseff","praesident","russland","humala","regierung","regierung","russland","russland","regierung","land","russland","regierung","regierung","westerwelle","ahmadinedschad","land","praesident","argentinien","land","argentinien","praesidenten","praesident","regierung","argentinien","abe","regierung","hugo","maduro","kirchner","rousseff","armee","cristina","praesident","chávez","de","praesidenten","partei","chávez","chávez","praesidentin","kratochwil","kirchner","kirchner","land","de","dilma","iran","regierung","argentinien","praesidentin","rousseff","ukraine","ukraine","ukraine","land","rousseff","lemberg","argentinien","kirchner","putin","russland","venezuela","macri","brasilien","opposition","land","argentinien","maduro","peres","praesident","regierung","venezuela","tuerkei","land","land","venezuela","maduro","brasilien","opposition","venezuela","venezuela","regierung","land","land","ruhani","venezuela","tuerkei","erdogan","tuerkei","akp","tuerkische","lira","tuerkische","albayrak","lira","tuerkische","tuerkei","lira","tuerkische","akp","tuerkei","tuerkei","tuerkische","venezuela","argentinien","macri","land","regierung","libyen","tuerkei","ankara","argentinien","beziehungen","argentinien","tuerkische","regierung","gonzalez","tuerkei","tuerkei","tuerkische","land","tuerkische","tuerkische","tuerkische","lira","tuerkei","land","russland","land","tuerkische","demokraten","biden","praesident","putin","russische","russischen","putin","praesident","regierung","sunak","russland","sunak","demokraten","ukraine","biden","tuerkei","land","erdogan","erdoğan","seite","tuerkei","regierung"
"4","prozent","ecevit","land","dervis","tories","prozent","argentinien","dollar","norwegen","iwf","dollar","peso","duhalde","argentinien","peso","land","iwf","land","brasilien","iwf","land","paulo","partei","lula","brasilien","land","tuerkei","land","lula","argentinien","partei","ambev","schweden","tuerkische","landes","tuerkei","aznar","land","mrd","slowakei","kroatien","prozent","premier","brasilien","tuerkische","tuerkische","land","prozent","praesident","polen","prozent","tuerkei","tuerkische","krone","prozent","land","russland","land","regierung","iwf","brasiliens","landes","palocci","humala","litauen","chávez","land","lula","schweden","alckmin","ortega","rumaenien","lukaschenko","russland","regierung","land","tuerkei","land","simbabwe","putin","land","buenos","russland","chávez","suharto","praesident","land","berlusconi","brown","russland","simbabwe","musharraf","partei","ukraine","russland","mugabes","regierung","praesident","land","tuerkei","regierung","iran","revolution","praesident","landes","argentinien","praesident","filibuster","argentinien","constancio","landes","estland","regierung","li","argentinien","lei","opposition","kirchners","putin","land","land","mubarak","parlament","ai","russland","ungarn","lukaschenko","land","winkler","demonstranten","cameron","praesident","praesident","chávez","russland","israel","land","land","aleppo","rueckkehr","rueckkehr","capriles","iran","chávez","land","chávez","maduro","margaret","bouzid","ahmadinedschad","land","ukraine","bach","praesidentin","repsol","wm","gandhi","venezuela","regierung","land","aires","regierung","regierung","hedgefonds","land","lula","obama","luis","putin","kiew","putin","putin","silva","de","rousseff","ukraine","land","partei","aires","opposition","cervantes","kiew","faschismus","putin","regierung","erdogan","erdoğan","opposition","trump","brasilien","venezuela","praesident","nieto","praesidenten","praesident","tuerkei","caracas","maduro","regierung","land","praesident","praesident","simbabwe","bolivar","demonstranten","petro","land","rial","tuerkische","wahl","lira","tuerkische","lira","tuerkische","tuerkei","zwiebeln","mnangagwa","venezolanischen","lira","albayrak","land","erdogan","fluechtlinge","iran","mugabe","argentinien","brasilien","iran","iran","praesident","touristen","regierung","rial","bolsonaro","tuerkischen","libanon","land","land","erdogan","giscard","tuerkei","russland","tuerkei","land","praesident","russland","tuerkischen","afghanistan","regierung","erdogan","biden","tuerkei","lira","sanktionen","russischen","praesident","praesident","johnson","land","demokraten","regierung","biden","republikaner","regierung","tuerkei","praesident","russland","desantis","biden","erdogan","regierung","tuerkei"
"5","landes","iwf","argentinien","argentinien","mrd","brasilien","iwf","mexiko","iwf","mexiko","landes","cavallo","dollar","pesos","duhalde","duhalde","banken","dollar","land","land","argentinien","brasiliens","mexiko","venezuela","peso","landes","brasilien","argentinien","argentinien","brasilien","forint","land","land","tuerkischen","chavez","mrd","landes","tuerkischen","land","polen","lula","iwf","iwf","prozent","iwf","istanbul","peso","land","kirchner","ungarn","brasilien","brasilien","argentinien","schweden","ungarn","brasiliens","prozent","dzurinda","tuerkische","russland","brasilien","kudrin","mantega","litauen","slowenien","peru","tuerkischen","tuerkische","land","brasiliens","slowakei","bulgarien","brasilien","mugabe","simbabwe","brown","brown","simbabwe","bennett","brown","harare","aires","praesident","mbeki","landes","partei","ahmadinedschad","partei","land","opposition","eu","putin","russland","praesident","tusk","chávez","praesident","iran","iran","praesident","reformer","land","pastora","amtszeit","russen","neururer","camp","nordkorea","praesident","praesident","wm","brown","premierminister","landes","land","russland","praesident","cristina","obama","ungarn","mubarak","reagan","praesident","lukaschenko","praesident","volk","venezuela","estland","praesident","praesidentin","land","polen","briten","land","chamenei","iran","protest","tsipras","praesident","praesident","david","iran","syrische","regierung","pfund","islamisten","musharraf","thatchers","maduro","regierung","rohani","argentinien","praesidenten","juncker","maduro","konservativen","land","proteste","ukraine","aires","praesidentin","land","wm","regierung","aires","brasiliens","sanktionen","land","poehl","ukraine","kiew","brasilien","maduro","argentinien","kiew","land","kambodscha","ukraine","buenos","argentinien","ukraine","maduro","mussolini","land","praesident","fujimori","praesident","praesident","brasilien","caracas","putin","maduro","land","macri","regierung","regierung","rohani","praesident","land","regierung","cúcuta","tuerkischen","maduro","regierung","teheran","mendoza","praesident","iran","maduro","erdoğan","land","tuerkischen","tuerkischen","tuerkischen","land","landes","praesident","regierung","akp","erdogan","venezuela","teheran","tuerkischen","macri","praesident","erdogan","tuerkei","praesident","regierung","argentinien","bauern","lira","land","land","regierung","argentinien","regierung","regierung","tuerkischen","ghana","lira","iran","land","erdogan","assad","iran","regierung","sanktionen","brasilien","land","tuerkische","praesident","tuerkei","ukraine","sanktionen","russische","land","ukraine","partei","biden","land","regierung","partei","eu","land","erdoğan","partei","tuerkei","opposition","regierung","russland","russland"
"6","dollar","krise","iwf","land","land","labour","prozent","iwf","partei","dollar","la","land","land","iwf","land","kroatien","partei","iwf","tuerkei","waehrungsfonds","brasilien","lulas","simitis","meirelles","iwf","koizumi","fukui","brown","iwf","land","lula","iwf","blair","litauen","istanbul","landes","prozent","ankara","premier","regierung","mexiko","polen","argentinien","land","dollar","prozent","mexiko","tuerkischen","saakaschwili","eubeitritt","landes","singh","tuerkischen","jassin","tuerkei","partei","land","partei","mrd","prozent","landes","land","krone","kriterien","argentinien","lira","landes","eu","putin","paulo","rumaenien","eu","slowenen","kirchner","brown","partei","land","praesident","akp","land","putin","regierung","russischen","land","bolivar","russland","simbabwe","harare","regierung","simbabwe","partei","regierung","land","iran","moskau","farmer","obama","regierung","mugabe","fujimori","praesident","praesident","regierung","freeth","land","regierung","suedafrika","regime","volcker","volcker","obama","partei","praesidenten","leyla","nasim","gates","land","argentinien","lula","praesident","demonstranten","land","stream","rousseff","islam","russland","land","sowjetunion","land","regierung","iran","argentinien","sanktionen","regierung","regierung","regierung","regime","premierminister","sanktionen","mugabe","obama","venezuela","premierminister","land","praesidenten","venezuela","praesident","regierung","regierung","putin","korruption","land","rohani","de","regierung","praesident","peso","praesident","kuba","buenos","alsisi","korruption","argentiniens","glaeubiger","buenos","brasilien","streik","brasiliens","maduro","tholey","praesidentin","land","soldaten","regierung","lula","brasilianer","brasiliens","cristina","land","chávez","venezuela","regierung","hallberg","regierung","brasilien","maduro","land","temer","tuerkischen","maduro","land","erdogan","peña","regierung","aegypten","praesident","ruhani","argentinien","caracas","venezuelas","tuerkischen","partei","praesident","praesident","land","praesident","regierung","landes","land","tuerkische","venezuela","maduro","argentinien","regierung","iran","tuerkischen","landes","iran","istanbul","erdoğan","erdogan","iranische","land","erdogan","regierung","land","iraner","landes","praesident","sudan","syrien","land","brasília","syrien","land","tuerkischen","tuerkischen","erdogan","argentinien","land","tuerkische","land","praesident","kavcioglu","wahlen","tuerkische","proteste","land","russland","regierung","virginia","erdogan","land","russischen","rubel","macron","tuerkei","putin","biden","putin","partei","demokraten","praesident","praesident","russland","regierung","trump","regierung","kilicdaroglu","trump","praesident","seite"
"7","mrd","tuerkische","dervis","cavallo","argentinien","dollar","dollar","polen","argentinien","argentinien","argentinien","russland","aires","tuerkei","aires","sozialisten","peso","brasiliens","mrd","landes","persson","tuerkei","erdogan","chavez","argentinien","dollar","landes","mrd","brown","kirchner","pri","paulo","argentinien","landes","tuerkischen","bulgarien","tuerkische","wirtschaft","schatzkanzler","ungarn","dollar","eu","mrd","ungarn","prozent","iwf","mrd","eu","prozent","sabanci","russland","dollar","polen","stockholm","landes","lulas","ukraine","tuerkische","brown","dollar","bip","berlusconi","lula","lira","brasilien","regierung","ecevit","desmazes","blair","regierung","fico","tuerkei","chavez","iwanow","opposition","landes","blair","landes","land","landes","simbabwes","kirchners","slowenien","russland","brown","mugabe","praesident","land","russland","partei","ukraine","medwedjew","jansa","juschtschenko","tsvangirai","putin","kiew","praesidenten","regierung","obama","russland","aires","gibraltar","regierung","reformen","jemen","landes","regierung","landes","russland","yellen","de","obama","polenz","streik","moskau","mehrheit","tuerkei","ahmadinedschad","tallinn","kairo","kairo","ukraine","besigye","lateinamerika","iwf","partei","osborne","jobs","perón","britische","wahl","tuerkei","polizei","praesidenten","argentinische","wahl","obama","praesidenten","besteuerungsgleichheit","de","obama","kirchner","ldp","hindenburg","eu","capriles","obama","argentinien","demonstranten","de","de","freiheit","land","land","regierung","iran","lópez","demonstranten","praesident","russische","lao","argentinier","kirchner","argentiniens","neves","landes","russischen","kirchner","nisman","regierung","wahlen","venezuela","hrywnja","partei","erdogan","ukraine","praesidentin","cristina","land","praesident","praesident","lula","praesidentin","rousseff","kuczynski","schuwalow","brasiliens","rousseff","venezuela","medikamente","praesidenten","lira","amt","hodeidah","caracas","temer","trump","praesidenten","kolumbien","kohl","landes","grace","caracas","praesident","regierung","venezuela","tuerkei","tuerkischen","tuerkischen","regierung","land","praesident","ankara","venezolaner","praesident","regierung","tuerkei","praesident","lira","landes","land","istanbul","fernández","argentinier","regierung","regierung","wirtschaft","argentinien","regierung","idlib","covid","westen","praesident","regime","land","erdogan","praesident","land","cuc","regierung","praesident","waehrung","praesident","syrien","lira","iran","tuerkei","praesident","praesident","praesident","russland","regierung","tuerkei","ukraine","ukraine","russische","regierung","trump","tuerkei","premierministerin","johnson","russland","land","praesident","partei","biden","russland","partei","praesident","trump","biden"
"8","mexiko","tuerkischen","la","ankara","iwf","toledo","landes","brasilien","mrd","polen","tuerkei","de","abwertung","land","buenos","banken","praesident","mrd","dollar","dollar","sozialdemokraten","land","land","praesident","mexiko","brasiliens","mrd","eu","ungarn","mercosur","iwf","bradesco","persson","lettland","tuerkische","commonwealth","brasilien","paulo","wen","landes","ungarn","zloty","land","rumaenien","oeger","mrd","iwf","lira","landes","landes","mesa","land","mrd","mugabe","argentinien","brasilien","norwegen","kirchner","lira","regierung","partei","spanien","praesident","polen","iwf","tuerkische","tuerkische","tuerkei","partei","lulas","argentinien","gajdar","chávez","aires","partei","tuerkei","tony","afrikas","regierung","russland","mugabes","land","partei","rubel","politischen","land","regierung","mugabes","simbabwe","harare","praesident","praesident","moskau","landes","russischen","freeth","moskau","land","praesidenten","russland","kirchner","regierung","managua","obama","russische","partei","simbabwe","iran","venezuela","gates","suedafrikas","labour","tusk","wurde","teheran","kolumbien","israel","terrorismus","praesidenten","estland","aegypten","obama","sonntag","lula","kritiker","westen","praesident","regierung","barack","cristina","polen","russland","praesidenten","brasilien","praesident","argentiniens","wahlen","russland","regime","land","romney","sanktionen","david","premier","kueng","abe","osborne","hugo","saibi","iran","kirchner","summers","yellen","luxemburg","kirchner","land","praesidentin","opposition","land","dilma","argentinien","landes","brasilien","polizei","regierung","praesidentin","regierung","anwaelte","de","tango","maduro","são","list","praesidentin","iraner","russland","kiew","scioli","scioli","russland","land","russland","land","macri","temer","temer","kiew","olympischen","land","fonseca","praesidenten","landes","mexiko","clinton","erdogan","opposition","venezuela","macri","praesident","opposition","regierung","abes","regierung","fujimori","menschen","venezuelas","jiménez","land","opposition","ince","tuerkischen","venezuela","ankara","land","menschen","istanbul","land","guaidó","brasilien","istanbul","tuerkische","praesident","syrer","kirchner","mugabes","tuerkischen","argentinien","israel","venezuela","erdoğan","tag","praesident","brasilien","glaeubiger","erdoğan","tuerkei","tuerkische","tuerkischen","praesident","peso","erdogan","tuerkischen","agbal","regierung","erdoğan","putin","russland","praesident","bolsonaro","tuerkischen","erdogan","manchin","ukraine","trump","praesident","le","biden","macron","ukraine","russland","liz","ukraine","joe","putin","putin","land","tuerkei","erdoğan","klçdaroğlu","lesen","harris","russische"
