"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01","2023-03-01","2023-04-01","2023-05-01","2023-06-01","2023-07-01","2023-08-01","2023-09-01","2023-10-01","2023-11-01","2023-12-01","2024-01-01","2024-02-01","2024-03-01","2024-04-01","2024-05-01","2024-06-01","2024-07-01","2024-08-01","2024-09-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","9.3407","12.4005","10.1711","13.6548","8.9546","14.333","15.1676","12.3694","10.3165","14.32","15.6087","15.5653","15.3204","13.0062","10.4042","10.0121","12.8911","10.0621","11.772","10.7081","10.4117","15.4466","17.177","17.5227","14.0375","13.3758","10.8802","10.1751","15.414","11.2318","12.0617","6.187","15.1241","12.2901","13.4202","14.6728","13.1198","10.3782","10.6593","9.0539","7.6685","8.5902","10.4589","7.8","12.0592","10.9933","10.9389","9.2119","9.7323","9.1916","11.0252","7.442","7.4353","15.0978","10.0802","8.9101","7.4908","8.2271","9.8272","9.6061","13.2636","10.3493","10.4569","11.8403","10.1713","7.8303","11.6202","7.0065","10.7833","11.8725","10.8086","11.5751","11.2029","14.3548","12.4798","9.4346","8.7935","9.8204","13.322","7.9251","13.136","12.4467","10.9574","12.6802","10.837","11.4886","10.3768","12.317","12.6072","11.0298","10.9727","10.9289","11.0714","14.4911","14.3352","16.5116","14.8592","14.593","15.4512","17.308","13.8563","15.314","15.2004","13.5628","14.414","12.0303","10.8046","20.8327","11.0622","19.4839","16.9634","17.3632","20.5676","16.1607","12.524","11.8666","12.7365","11.8541","11.4477","15.6026","12.504","12.88","12.3171","13.3364","16.5581","15.4419","16.0738","15.7436","20.4852","14.5622","22.5841","21.4868","15.6558","14.6578","13.6655","11.5121","24.6965","21.263","18.3011","18.2343","17.3225","16.8815","11.6363","13.0265","11.5166","12.4308","13.8607","13.7625","13.7613","13.2616","16.0853","9.1903","11.925","12.2834","11.1543","14.2021","9.1382","15.4627","10.5778","11.2243","14.6976","12.3664","14.8071","10.4781","13.6148","16.2941","10.1886","10.6147","14.9617","14.6182","10.5833","13.231","12.9108","15.4742","20.275","11.3337","10.279","10.6708","13.7728","8.6641","10.5809","19.1978","10.5268","12.6501","15.9493","17.972","13.9507","12.5276","14.255","15.2028","13.67","13.5491","13.4844","16.9806","12.5294","12.7391","13.3106","18.9182","12.5043","10.9824","11.2296","13.8493","12.654","8.4404","14.4318","9.5296","13.942","5.5839","14.5561","12.9059","8.95","10.4608","10.9244","9.2287","10.6321","11.021","14.1687","10.6883","10.7564","12.8579","12.4843","7.7632","11.1473","10.5199","14.2434","14.6229","11.544","14.0373","12.3246","13.8715","17.8357","17.8917","21.9302","14.1741","12.7374","11.9466","11.8128","15.2067","15.8746","12.2445","14.8573","12.0507","14.7299","10.4782","12.7384","14.3124","10.9981","12.5286","15.7845","14.4493","13.9662","13.2439","12.0765","11.1867","14.9165","12.9023","14.5814","11.7493","11.0226","9.7893","11.4111","11.6127","13.448","15.1938","13.9211","14.0144","11.8275","10.7491","10.3209","9.352","11.1184","13.1035","13.5553","12.4997","12.4208","10.9222","13.836","12.0704","11.0533","11.2736","14.9487","12.5941","10.4487","7.6526","11.5283"
"Share (in Promille) on entire corpus","2.2852","3.3808","2.4414","3.8558","2.4663","4.8504","4.2507","2.8686","1.9412","3.0812","3.1964","4.6977","3.9338","2.2977","2.1439","2.3181","3.3362","1.8973","2.5676","2.4635","1.917","3.5916","4.3772","4.9046","3.3244","2.545","1.9076","1.4781","3.7485","2.4753","2.0197","0.7767","2.8315","2.034","2.6834","2.7583","2.7819","2.2268","1.7469","1.9129","1.9969","2.4578","1.9254","1.4254","2.408","2.5591","2.0745","2.1808","2.1608","1.6445","2.3318","1.6727","1.3096","2.8429","1.7157","1.8849","1.9645","2.7192","2.8139","2.2691","2.5802","1.7146","2.1648","2.7103","2.6514","1.9288","1.9949","1.51","2.3279","2.5087","2.1781","2.4242","2.4049","3.3303","2.7924","1.9276","1.6689","2.0633","2.8436","1.6886","3.4949","3.4897","3.3975","4.3496","3.8053","3.1914","3.7324","5.0471","5.4359","4.9687","5.1902","4.5906","4.1228","4.7592","3.7889","4.7913","3.6286","3.7161","4.2421","5.128","3.4636","4.3419","3.2842","2.7833","2.896","2.1778","1.8413","4.1875","2.628","5.2488","4.7333","5.5214","7.6811","4.5961","2.3989","3.09","3.6453","3.2606","4.06","6.6764","5.3604","5.6045","5.3493","5.8606","4.8833","5.4115","5.2994","6.2631","7.8521","5.7436","10.8584","9.2349","5.9235","4.913","4.8154","4.5251","9.3038","6.7485","7.0643","8.0092","8.2335","6.4908","3.8197","4.3122","4.6671","4.3633","5.1777","5.9159","4.994","4.6783","5.4264","2.7944","3.1681","4.371","4.3451","5.0178","3.0088","4.2767","2.7905","3.5688","4.4991","4.2609","5.3159","3.9475","3.5576","5.4756","3.4915","3.698","6.5423","4.8854","3.1049","2.9766","3.4796","4.4996","5.5418","3.1878","2.6407","2.6774","3.2378","3.1562","3.0552","5.5695","3.1647","4.1325","4.651","4.2756","4.1585","3.1812","3.7054","4.1181","4.5928","4.3369","6.2724","6.2151","3.9123","4.0785","3.5319","5.9062","3.5801","3.4314","3.6761","3.7519","4.1785","2.4176","5.5632","3.5817","3.6177","1.3972","4.4083","4.2663","3.033","3.7891","3.848","3.1263","3.0956","2.775","3.4574","2.5399","2.5767","3.6427","2.9307","2.4882","4.0183","3.6946","4.7955","4.2147","2.2029","4.548","3.7089","3.8251","2.7031","4.1983","5.6921","4.1833","2.4373","3.768","3.1118","4.4262","4.2582","3.6614","4.7129","4.2579","6.4659","3.4975","6.2392","7.8323","4.9675","5.8483","9.1503","12.5247","11.5286","10.4589","13.2224","9.8371","14.3953","15.8263","22.6065","21.0278","20.8934","18.2872","22.3183","20.2115","23.2358","25.4832","23.1288","21.0474","16.3002","14.868","14.0781","11.1881","15.0532","18.474","14.6129","13.4516","15.0276","12.4053","16.4431","12.7176","11.4096","12.5491","14.4145","12.2885","9.1338","6.8814","9.3684"
"1","euro","irland","deutschland","eu","eu","sz","deutschland","europa","welt","welt","deutschland","dmark","waehrung","stabilitaetspakt","sz","sz","welt","sz","keynes","sz","mer","deutschland","deutschland","deutschland","deutschland","deutschland","sz","galbraith","deutschland","deutschland","deutschland","welt","welt","welt","deutschland","deutschland","mundell","wuffli","snower","welt","deutschland","welt","bundesbank","mundell","welt","eu","welt","welt","sz","welt","deutschland","deutschland","deutschland","waehrungsunion","deutschland","welt","welt","deutschland","welt","welt","sz","sz","sz","sz","welt","welt","welt","sz","sz","welt","friedman","sz","welt","welt","sz","welt","welt","welt","bundesbank","bundesbank","sz","welt","politik","umweltoekonomie","sz","sz","politik","welt","sz","sz","sz","sz","sz","sz","sz","sz","sz","sz","sz","sz","muessen","sz","menschen","sz","sz","sz","waere","poullain","sz","sz","hb","griechenland","griechenland","hb","sz","krise","ja","handelsblatt","sz","sz","sz","sz","handelsblatt","handelsblatt","sz","griechenland","sz","handelsblatt","griechenland","handelsblatt","sz","sz","schulden","sz","handelsblatt","sz","sz","griechenland","griechenland","europa","europa","europa","europa","waehrungsunion","europa","keynes","europa","europa","europa","europa","europa","griechenland","griechenland","deutschland","deutschland","ja","europa","deutschland","krise","krise","europa","europa","deutschland","schulden","frankreich","frankreich","europa","europa","politik","griechenland","griechenland","griechenland","griechenland","griechenland","griechenland","griechenland","griechenland","reformen","schmidt","ja","europa","unsere","europa","europa","politik","eu","eu","globalisierung","europa","europa","europa","europa","politik","europa","eu","europa","europa","europa","europa","brexit","juncker","europa","deutschland","welt","eu","europa","eu","laender","eu","italien","europa","europa","deutschland","italien","politische","italien","trump","deutschland","europa","europa","eu","europa","regierungen","deutschland","deutschland","deutschland","ja","europa","eu","ja","goulard","krise","schulden","ja","cfa","eu","politik","china","eu","schulden","eu","china","pandemie","pandemie","staat","eu","eu","pandemie","europa","eu","europa","wirtschaft","china","europa","muessen","iwf","china","eu","muessen","china","deutschland","china","china","eu","china","eu","china","china","china","dubourg","china","investitionen","china","eu","europa","usa","china","eu","china","investitionen","china","usa","europa","usa","china"
"2","europa","waehrungsunion","europa","welt","sz","deutschland","welt","deutschland","deutschland","finanzpolitik","welt","waehrung","deutschland","deutschland","deutschland","deutschland","eu","welt","europa","deutschland","deutschland","eu","stabilitaetspakt","eu","europaeische","europaeischen","wiegard","eu","welt","welt","welt","mobbing","deutschland","europa","stabilitaetspakt","friedman","welt","sz","europa","deutschland","welt","bofinger","deutschland","friedman","eu","welt","deutschland","deutschland","deutschland","deutschland","lachmann","regierungen","marktwirtschaft","deutschland","waehrungsunion","reformen","deutschland","welt","deutschland","deutschland","greene","deutschland","welt","keynes","waehrungsunion","politik","deutschland","welt","welt","phelps","welt","welt","gaspari","marktwirtschaft","europa","muessen","bono","europa","welt","sz","welt","sz","unsere","sz","sarkozy","solow","sz","politik","unsere","ja","ackermann","problem","rothschild","ja","ja","ja","ja","keynes","staat","keynes","sz","krise","sz","muessen","muessen","krise","gibt","online","meltzer","krise","sz","muessen","europa","sz","ja","hb","probleme","griechenland","europa","handelsblatt","politiker","dimon","sz","deutschland","griechenland","schulden","waehrungsunion","eurobonds","schulden","sz","handelsblatt","handelsblatt","sz","handelsblatt","kapitalismus","europa","europa","sz","schulden","deutschland","deutschland","griechenland","deutschland","europa","frankreich","europa","zypern","deutschland","deutschland","dmark","ja","europa","europa","politik","schulden","europa","banken","ja","europa","europa","krise","italien","unsere","deutschland","europa","deutschland","frankreich","deutschland","frankreich","europa","fratzscher","europa","ja","schulden","schulden","deutschland","nein","unsere","helmut","staaten","ja","europa","eu","unsere","europa","europa","europa","europa","eu","renzi","schulden","waehrungsunion","eu","trump","europa","waere","deutschland","eu","laender","laendern","eu","muessen","europa","laendern","bulgarien","deutschland","brexit","laendern","italien","politik","deutschland","deutschland","macron","italiens","macron","eu","italien","verfassung","brexit","eu","deutschland","trump","unsere","europa","unsere","frankreich","politik","deutschland","deutschland","deutschland","grosse","europa","staaten","waere","europa","politik","ja","trump","schulden","trump","staat","staat","europa","biden","biden","pandemie","wirtschaft","politik","muessen","biden","china","europa","europa","ja","europa","deutschland","europa","europa","eu","deutschland","eu","deutschland","deutschland","europa","usa","ira","europa","usa","usa","china","usa","eu","eu","china","investitionen","china","usa","china","usa","usa","europa","china","eu","europa","usa"
"3","deutschland","eu","europaeischen","laender","euro","welt","politik","welt","fabius","europaeischen","europa","sz","europaeischen","welt","laender","welt","deutschland","deutschland","forsyth","welt","laender","chirac","eu","europa","europaeischen","welt","deutschland","deutschland","europa","frankreich","europa","deutschland","euro","reformen","kommission","pakt","euro","deutschland","politik","eu","eu","deutschland","weber","frankreich","deutschland","europa","fischer","sz","rat","bergheim","frankreich","rato","bundesbank","welt","welt","deutschland","weber","politik","sz","friedman","deutschland","immer","barroso","welt","wirtschaftspolitik","deutschland","almunia","deutschland","globalisierung","steingart","friedmans","buerger","gibt","deichmann","welt","richesflores","dafuer","sz","sarkozy","deutschland","boudgoust","ja","friedman","professor","welt","ja","ja","wittenstein","deutschland","deutschland","welt","buerger","unsere","politik","muessen","muessen","muessen","deutschland","muessen","ja","ja","politiker","muessen","krise","beust","problem","staat","welt","ja","ja","muessen","hb","waehrungsunion","muessen","spethmann","blumenthal","krise","laender","deutschland","krise","handelsblatt","handelsblatt","gibt","laender","ja","deutschland","griechenland","otte","sz","krise","griechenland","schulden","griechenland","griechenland","sz","schulden","waehrungsunion","europa","esm","staaten","europas","muessen","merkel","wirtschafts","deutschland","sinn","krise","politik","laender","staaten","politik","schuldenschnitt","deutschland","europa","krise","laender","politik","europa","reformen","frankreich","deutschland","ja","frankreich","frankreich","politik","europa","ja","unsere","europa","schulden","feld","unsere","eu","griechische","griechen","schulden","waere","schulden","europa","waere","schulden","deutschland","griechenland","deutschland","eu","waere","briten","politik","unsere","italien","politik","europas","trump","deutschland","staaten","politik","frankreich","brexit","deutschland","eu","laender","italien","warum","bildung","europa","trump","trump","stellte","bruessel","europa","yardeni","eu","italien","deutschland","unsere","regierung","frankreich","eu","trump","brexit","frankreich","usa","europa","politische","waere","politik","regierung","ja","unsere","eu","krise","laender","laender","europa","deutschland","laender","muessen","staaten","europa","pandemie","neue","pandemie","china","krise","wirtschaft","europa","iwf","muessen","eu","investitionen","eu","lieferketten","politik","eu","china","china","eu","deutschland","unsere","ja","china","eu","europa","usa","eu","usa","usa","eu","europa","eu","eu","wirtschaft","europa","europa","eu","investitionen","europa","usa","europa","china","eu","eu","usa","china","eu"
"4","eu","finanzminister","eu","europa","welt","eu","wirtschaft","politik","sz","politik","europaeischen","euro","welt","europaeischen","stiglitz","eu","marktwirtschaft","politik","welt","politiker","kopenhagen","bruessel","bruessel","waehrungsunion","kommission","staaten","bofinger","frankreich","laender","europaeischen","reformen","rablstadler","frankreich","waehrungsunion","europaeischen","eu","waere","eu","deutschland","weber","muessen","eu","sz","deutschland","waehrungsunion","deutschland","sz","weber","pakt","reformen","aly","eu","weber","euro","europaeischen","mauro","sz","ja","politik","sz","politik","gibt","muessen","europa","sz","waehrungsunion","marktwirtschaft","ja","feldstein","lambsdorff","milton","immer","eu","sozialen","union","fragen","laender","globalisierung","deutschland","beispiel","gibt","phelps","welt","politik","deutschland","muessen","waere","ja","politik","welt","waere","politik","ja","staat","huether","gigerenzer","waere","muessen","keynes","staat","krise","muessen","unsere","gibt","staat","muessen","darwin","walter","hb","snower","griechenland","krise","waere","ja","hb","bofinger","waere","weinelt","staat","waehrungsunion","politik","waehrungsunion","regling","sz","handelsblatt","politik","laender","europa","waehrungsunion","griechenland","europa","europa","handelsblatt","ja","ja","griechenland","krise","waehrungsunion","deutschland","esm","griechenland","deutschland","unsere","europaeische","staaten","staaten","muessen","ja","dmark","ja","deutschland","deutschland","laender","reformen","muessen","lettland","autor","politik","staaten","ja","reformen","politiker","bundesbank","europa","krise","politik","deutschland","politik","reformen","waere","ja","gibt","waere","waere","griechische","banken","ja","laender","deutschland","frankreich","brauchen","frankreich","politischen","waere","merkel","politik","grossbritannien","schulden","politiker","eu","ja","probleme","ja","gibt","le","frankreich","eu","may","macron","deutschland","europa","may","eu","automobilindustrie","brexit","usa","deutschland","schafft","erhard","brexit","faschismus","macron","europa","politik","merkel","brexit","europa","europa","eu","deutschland","politik","politische","iwf","laendern","europa","eurozone","wohlstand","unsere","ja","unsere","esm","italien","europa","muessen","schulden","ja","politischen","politik","ja","laender","trump","eu","usa","deutschland","schulden","china","wachstum","biden","herr","politik","ja","eu","ja","laender","politik","muessen","laender","muessen","gas","muessen","europa","muessen","muessen","china","europa","europa","eu","europa","eu","europa","europa","unternehmen","deutschland","deutschland","usa","energien","eu","unternehmen","habeck","ira","usa","europa","china","wirtschaft","investitionen"
"5","europaeischen","irische","politik","politik","europaeischen","europa","sz","europaeischen","europa","laender","laender","waehrungsunion","waehrungsunion","brief","welt","bruessel","europaeischen","wirtschaft","euro","regierung","finanzminister","europaeischen","bruening","euro","laender","reformen","laender","welt","europaeischen","reformen","muessen","probleme","koehler","europaeischen","pakt","welt","europa","muessen","vertrauen","waehrungsunion","waehrungsunion","laender","frankreich","waehrungsunion","europa","europaeischen","bofinger","eu","stabilitaetspakt","warum","pakt","frankreich","eu","sz","laender","weder","warum","europaeischen","finanzminister","europa","almunia","rechtschreibung","deutschland","deutschland","politik","transzendenz","politik","bildung","laender","arbeitslosigkeit","keynes","warum","italien","erhard","laender","unsere","laendern","frankreich","unabhaengigkeit","heute","unsere","messen","brauchen","welt","politik","unsere","buerger","sz","ja","kirsch","politik","staat","muessen","muessen","geld","gibt","gibt","waere","regierungen","menschen","verantwortung","waere","staat","welt","krise","aufsicht","sz","sz","muessen","griechenland","ja","staaten","deutschland","europa","mayer","gibt","steinbrueck","sen","probleme","lagarde","krise","politik","solomon","waehrungsunion","plumpe","sz","europa","schulden","handelsblatt","politik","schulden","merkel","staaten","europa","schulden","krise","griechenland","schulden","europa","griechenland","ja","europaeische","griechenland","staaten","schulden","griechenland","politik","europas","europas","deutschland","krise","laender","europas","krise","europa","vertrauen","herr","staat","europas","deutschland","frankreich","wachstum","michel","krise","deutschland","wachstum","krise","ja","griechenland","waehrungsunion","waere","ja","labour","eu","griechischen","griechischen","schulden","politik","politik","regierungen","staaten","eu","deutschland","politik","ja","briten","brunnermeier","stiglitz","deutschland","laender","donald","populismus","donald","laendern","frankreich","eu","macron","briten","eu","grossbritannien","katalonien","katalonien","politische","politik","wirtschaft","eu","austritt","deutschland","bulgarien","staaten","politiker","trump","waehrungsunion","eu","frankreich","gibt","laender","unsere","europaeischen","europaeischen","europa","deutschland","eu","herr","ja","laendern","deutschland","regierungen","warum","europa","politik","regierungen","laendern","staat","krise","wirtschaft","europa","europas","politik","staat","china","europa","wirtschaft","europa","eu","unternehmen","staaten","europa","huether","iwf","muessen","pandemie","wirtschaft","muessen","eu","weltwirtschaft","davos","laender","deutschland","europa","politik","europa","eu","ira","davos","subventionen","ira","technologien","ira","usa","wasserstoff","china","unternehmen","usa","china","deutschland","deutschland","europa","investitionen","deutschland","wasserstoff","investitionen","politik","act","europa"
"6","welt","solbes","frankreich","deutschland","deutschland","politik","laender","waehrungsunion","regierung","muessen","wachstum","europaeischen","euro","neuverschuldung","europa","waehrung","europa","europa","hb","politik","welt","politik","sz","laender","welt","politik","waere","europa","sz","agenda","eu","politik","laender","deutschland","eukommission","europaeischen","bofinger","besondere","stabilitaet","beitrittslaender","weber","regierungen","chirac","mccreevy","sz","staaten","muessen","laendern","bofinger","laender","welt","europa","wkm","sinn","sz","di","laender","sz","ja","euro","welt","politik","europa","europaeischen","liikanen","frage","ja","wichtig","almunia","easterly","monetarismus","alten","immer","politik","eu","reformen","fragen","mehr","laender","waeren","muessen","gibt","natuerlich","menschen","staatsfonds","haette","modelle","gibt","dmark","molterer","oesterreich","unsere","waere","schiller","tun","vertrauen","heute","ja","ja","welt","staat","gibt","krise","politiker","politiker","tun","blessing","kirchhof","griechenland","muessen","juncker","staat","politiker","mittelschicht","griechenland","deutschland","menschen","sz","staaten","ackermann","laender","feld","ja","muessen","politik","handelsblatt","staaten","waere","staaten","deutschland","italien","waehrungsunion","italien","muessen","griechenland","ja","muessen","eurobonds","krise","schulden","politik","europaeischen","schulden","ja","wettbewerbsfaehigkeit","politik","banken","krise","frankreich","krise","frankreich","lohnstueckkosten","politik","keynes","ja","banken","ungleichheit","waehrungsunion","white","staat","ja","frankreich","laender","ja","schulden","krise","politik","italien","waere","griechische","deutschland","eu","spanien","waehrungsunion","waehrungsunion","europa","vielen","ja","waere","europaeische","regierungen","waere","schulden","staaten","deutschland","brexit","gemeinsame","wohlstand","regierungen","politik","eu","eu","globalisierung","ja","ja","deutschland","ja","trump","muessen","briten","deutschland","ja","laendern","ungleichheit","laender","merkel","bruessel","fonds","deutschland","marktwirtschaft","muessen","italien","regierung","dieselkrise","regierung","frankreich","politik","herr","wichtige","laendern","trump","geldtheorie","brexit","eu","laender","unsere","unsere","italien","europa","heute","waere","schaden","krise","deutschland","eu","muessen","investitionen","europa","staat","ja","deutschland","staaten","schulden","politik","pandemie","laender","laender","staaten","kommission","europa","deutschland","unternehmen","eu","politik","ja","europa","muessen","italien","europa","wirtschaft","muessen","ja","unsere","muessen","ira","act","subventionen","deutschland","act","investitionen","investitionen","deutschland","subventionen","unternehmen","wirtschaft","ja","ja","investitionen","eu","eu","deutschland","wasserstoff","investitionen","seidel","deutschland"
"7","staaten","bruessel","waehrungsunion","waere","waehrung","euro","eu","euro","finanzpolitik","europa","euro","deutschland","bruessel","eu","politik","europaeischen","politik","chirac","europaeischen","laender","frankreich","europa","europaeischen","europaeischen","waehrungsunion","hb","europa","euro","euro","stabilitaetspakt","laender","sz","europa","muessen","frankreich","frankreich","europaeischen","euro","sz","laender","bundesbank","ii","pakt","welt","laender","politik","reformen","reformen","staaten","gaymard","finanzminister","europaeischen","waere","laender","unterschiede","deshalb","italien","herr","europaeischen","europaeische","ja","prodi","waehrungsunion","ja","europa","staat","eu","politik","laendern","eu","ja","muessen","laender","deutschland","muessen","bundesbank","muessen","bundesbank","laendern","deshalb","politik","viele","krugman","gibt","ja","professor","viele","deutschland","welt","nein","deutschland","waere","regierungen","waere","ruerup","politiker","welt","staat","politik","politiker","welt","ja","unserer","grossen","heute","grossen","menschen","staat","welt","juncker","schulden","politiker","sz","waere","laendern","menschen","frage","deutschland","laender","europa","waehrung","staaten","noyer","krise","waere","ja","schulden","krise","laender","warum","krise","krise","ja","schulden","krise","politik","ja","griechen","staaten","waehrungsunion","schulden","krise","frankreich","griechenland","europas","wagenknecht","politiker","merkel","austeritaet","politik","schulden","politik","heute","staaten","laender","politik","europaeischen","laender","frage","vertrauen","staat","schulden","europa","fragen","staaten","laender","europas","ganz","italien","blyth","griechischen","deutschland","politik","griechischen","grexit","schuldenschnitt","europa","politiker","europaeischen","europa","waere","europaeische","grenzen","politischen","herr","europaeischen","james","ja","schulden","ja","italien","mueller","europa","globalisierung","italien","ja","europaeische","welt","italien","politik","waere","fachkraefte","waere","brexit","grossbritannien","politik","laender","digitalisierung","italienischen","muessen","eu","unsere","politik","regierung","italien","waere","usa","laender","usa","grossbritannien","usa","laendern","laender","politik","sewing","europa","waere","staaten","politische","regierungen","laender","deutschland","politik","laender","modellwelt","staaten","deutschland","ja","trump","politik","ja","schuldenschnitt","politik","china","investitionen","staat","ja","demokraten","unsere","deutschland","herr","deutschland","laender","china","waere","eu","deutschland","frankreich","politik","unsere","unsere","politik","ja","industrie","wasserstoff","china","act","industrie","investitionen","deutschland","deutschland","europa","usa","kommission","deutschland","politik","politik","act","unternehmen","wirtschaft","investitionen","co","deutschland","eu","chinesische"
"8","europas","kommission","finanzminister","waehrungsunion","waehrungsunion","finanzminister","fabius","muessen","eu","eu","waehrungsunion","welt","politik","muessen","mobbing","politik","bruessel","wissen","staaten","europa","italien","stabilitaetspakt","eichel","welt","euro","wirtschaftspolitik","europaeischen","europaeischen","reform","eu","europaeischen","waere","schweden","laendern","finanzpolitik","stabilitaetspakt","deutschland","gerade","eu","europaeischen","sz","reformen","wirtschaftspolitik","europaeischen","mundell","kydland","politik","euro","europaeischen","muessen","politik","erhards","europaeischen","italien","waehrung","frage","staaten","kohlhaussen","frage","politik","europaeischen","europa","europaeischen","meadows","ja","warum","reformen","oekonomische","regierungen","europa","waere","dmark","ja","unsere","wohlstand","ja","politik","dafuer","brauchen","vielen","fragen","heute","muessen","oldenburg","frankreichs","buerger","menschen","unsere","waere","oesterreich","marktwirtschaft","menschen","problem","nein","glaube","staat","brauchen","krise","depression","politik","gibt","menschen","waere","menschen","ja","keynes","termuehlen","ja","problem","waere","waere","schulden","staaten","gibt","schulden","politik","tun","muessen","waere","waere","griechenland","krise","staaten","bevoelkerung","juncker","staat","griechen","griechenland","waere","politiker","merkel","ja","deutschland","italien","politik","herr","staaten","merkel","italien","europaeischen","esm","frankreich","waere","schulden","politik","gibt","deutschland","deutschen","politik","europaeischen","regierungen","muessen","schuldenschnitt","hayek","deutschen","tun","deutschland","krise","banken","amerikaner","politik","muessen","ja","laendern","moscovici","schulden","staaten","reformen","schulden","deutschland","europa","muessen","regierung","land","griechenlands","waere","land","regeln","frankreich","schulden","politik","europaeischen","politik","frankreich","halte","herr","europaeischen","usa","probleme","brexit","trump","italien","italien","merkel","brexit","schulden","schulden","grossbritannien","europaeischen","europa","may","brexit","engagement","regierungen","deutschland","krugman","land","deutsche","polen","deutschland","politik","afrika","unsere","rom","eu","unsere","eu","brexit","regierungen","usa","ziemlich","politiker","tun","ja","warum","investitionen","tun","waere","problem","immer","deutschland","coronakrise","unsere","eu","regierungen","gibt","staaten","staat","krise","sinn","krise","biden","regierungen","usa","politik","deutschland","herr","ja","investitionen","klimawandel","investitionen","china","staaten","investitionen","gas","frankreich","wirtschaft","china","brauchen","eu","regierungen","kommission","usa","act","globalisierung","reduction","reduction","muessen","subventionen","roeding","politik","usa","investitionen","investitionen","unternehmen","industrie","wirtschaft","deutschland","wasserstoff","subventionen","zoelle","deutschland","wirtschaft","unternehmen","industrie"
