"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","11.2306","12.2288","13.4408","15.9955","12.146","11.4856","13.8181","12.9924","10.9816","9.9015","10.996","14.4178","14.1061","14.2502","13.5409","14.8182","12.5536","12.5035","14.7224","16.9502","12.7506","15.2816","13.4274","14.65","18.0127","9.3203","12.5479","18.6272","12.5048","11.5339","13.25","15.8493","13.4369","16.8817","17.8389","9.3079","18.7774","11.7351","15.2441","12.6684","10.5678","11.9292","13.0545","16.863","10.1456","16.826","10.9389","12.6258","14.771","10.5667","10.3635","11.5782","8.393","10.3779","14.8567","12.7066","11.9387","11.6799","9.5706","16.1322","13.2117","12.7277","10.4437","11.0113","11.8983","11.6904","11.7295","11.9882","12.3975","13.5639","13.4062","17.6274","11.3808","12.8971","14.3544","10.0453","14.6646","11.8875","13.8142","10.5456","15.9437","10.7833","11.5457","13.0902","9.6187","10.1655","10.9207","11.7258","11.5539","10.9006","8.6903","13.2105","12.1521","13.2083","12.7753","14.5472","16.2742","14.8482","12.0739","12.3986","15.0104","11.4382","14.0474","14.5107","11.7182","9.1054","8.4257","8.0553","10.4742","9.7066","10.4247","9.4536","10.2781","10.108","15.4851","11.7596","13.1949","9.8913","10.3941","14.8884","10.9224","11.3658","7.4113","9.314","8.3335","8.9436","10.5956","8.6719","10.0538","13.2894","10.0275","11.8917","10.3157","14.1664","13.3789","10.593","10.6228","12.0203","13.9393","10.5838","11.4715","13.3022","11.4876","10.6809","10.8853","12.2171","12.4506","12.8361","11.5118","14.6332","13.7069","12.5296","13.416","12.8455","10.5228","14.1187","11.6915","8.9802","9.9842","10.0972","12.1175","11.8126","11.4977","12.0597","8.8502","12.1473","10.018","13.3178","7.4366","13.7978","12.3506","12.5914","14.9898","10.7765","12.744","9.6646","13.2298","14.3891","10.5893","12.858","10.4745","16.2043","9.7271","12.2038","10.4637","13.7922","13.8249","11.2262","9.5929","11.6964","9.6869","14.2189","10.7196","10.6887","9.8931","10.4517","9.3223","12.2081","11.106","12.7153","12.9974","9.679","15.5373","11.3144","8.6776","6.6507","11.9258","18.1657","10.5271","12.3338","11.9636","8.3753","9.8597","12.0207","15.815","8.7654","10.9732","16.8045","15.5361","12.4594","18.5635","10.6283","7.8494","10.0052","12.629","14.4388","10.0521","13.4356","10.3635","12.1827","13.8941","12.699","9.2421","15.265","11.1188","11.9576","11.0234","10.9869","13.3281","11.2329","12.6888","10.8598","7.6405","11.3138","13.0315","7.1068","8.4208","11.0967","9.4833","11.1346","11.7128","13.8817","12.6627","10.2195","7.3981","12.5947","13.317","10.8009","15.4761","12.9192","14.3678","15.1408"
"Share (in Promille) on entire corpus","2.7476","3.334","3.2262","4.5168","3.3453","3.8868","3.8725","3.0131","2.0663","2.1305","2.2518","4.3514","3.622","2.5175","2.7903","3.4308","3.2488","2.3576","3.2111","3.8996","2.3476","3.5532","3.4217","4.1005","4.2658","1.7734","2.2","2.7058","3.0411","2.5418","2.2187","1.9897","2.5156","2.7939","3.5669","1.7498","3.9816","2.518","2.4983","2.6765","2.7519","3.4132","2.4032","3.0817","2.0259","3.9169","2.0745","2.9891","3.2796","1.8905","2.1918","2.6024","1.4783","1.9542","2.5286","2.688","3.1309","3.8604","2.7404","3.8107","2.5701","2.1086","2.1621","2.5206","3.1016","2.8797","2.0136","2.5836","2.6764","2.8661","2.7015","3.6918","2.4431","2.9921","3.2119","2.0524","2.7832","2.4976","2.9487","2.247","4.2419","3.0233","3.5799","4.4902","3.3775","2.8239","3.928","4.8048","4.9818","4.9105","4.1105","5.549","4.5252","4.3379","3.3766","4.2213","3.9742","3.7811","3.3149","3.6734","3.752","3.243","3.0351","2.9779","2.3544","1.6483","1.4359","1.6192","2.4883","2.6149","2.9088","3.0062","3.8384","2.8747","2.9661","3.0621","3.7764","2.7207","3.6864","6.3707","4.6824","4.9456","3.2187","4.093","2.4577","3.1342","3.4933","3.4499","3.8537","5.2416","4.8212","5.111","3.903","4.7483","4.7144","4.1638","4.0019","3.815","5.3807","4.6488","5.4525","5.1146","3.7709","3.5357","4.4112","4.2883","4.6509","5.5176","4.1777","5.1622","4.624","3.8098","3.5642","4.5711","4.0991","4.9884","3.8495","2.4838","2.6339","3.2104","3.7093","4.07","4.1278","4.5434","2.3126","4.0821","3.4331","4.6397","3.2518","4.6112","3.6234","2.8328","4.0399","3.1336","3.4834","2.7183","3.3988","3.6104","2.4894","4.684","3.0245","4.7011","2.9243","3.9867","3.0514","3.2812","4.121","2.8507","2.4935","3.1683","3.2545","4.5513","4.9864","3.9122","3.0892","3.3462","2.4736","3.8114","3.1797","3.9728","4.2548","2.6221","5.1306","3.2408","3.3451","2.4997","3.0946","4.5453","3.1881","4.0772","4.0543","3.0337","3.473","4.0721","4.6046","2.2071","2.6776","3.9933","3.7216","3.5298","4.3578","3.4065","2.8295","3.5139","4.252","4.1617","1.9182","4.3531","3.1188","3.3594","2.1057","2.9798","2.3989","4.5053","2.1275","3.7715","2.9038","3.1979","3.5751","3.359","4.025","3.8371","3.3539","3.7764","6.3827","3.8891","3.8034","5.1799","5.4974","9.6515","9.6685","10.9625","13.8642","8.9866","7.1395","15.449","20.6463","19.3305","29.3351","24.1342","28.1011","26.3521"
"1","hendrik","dolbin","menschen","mayervorfelder","mark","schon","menschen","wurde","mark","franc","ortega","mark","bgb","welt","heidegger","kaputzki","berlin","schon","menschen","kempski","miss","carter","welt","carter","scharon","breitwieser","anton","ja","leben","welt","ironie","ja","welt","papst","ja","winkler","welt","depression","nolte","yap","bilder","reagan","juli","mann","frauen","ja","sagt","rogge","menschen","npd","menschen","hitler","tuer","welt","krieg","mann","heute","mann","ioc","riegel","stadt","erhard","leben","wurde","stadt","nolte","adele","kaestner","film","flick","sark","schleyer","milz","breitlauch","piel","spaeter","fuehrer","sprache","bernays","kinder","schiller","walser","leben","kinder","wurde","museum","uhr","biesenbach","castell","frauen","korff","wurde","wurde","tiggemann","lena","bierhoff","holtzbrinck","wurde","mann","eppler","bechtolsheim","joop","tatah","hall","mo","leben","kunst","buch","jahres","gymnasium","norris","design","mann","mal","lauda","mertes","jerry","casta","krupp","quandt","heraeus","alte","taylor","hochzeit","horlick","fleisch","schon","menschen","rangnick","buehlbecker","ritalin","buch","hvb","haus","stadt","menschen","spaemann","dimou","menschen","leben","flores","gott","ja","menschen","barlach","noten","kinder","mann","menschen","menschen","lafer","ja","thrun","berliner","muderlak","kunst","erscheint","fitzek","ja","buch","rollins","buch","mueller","menschen","buch","menschen","generation","lang","globalisierung","menschen","geschichte","geschichte","menschen","fpoe","kunst","castiglioni","oft","glueck","wurde","graf","leben","ja","wegner","acurio","denken","williams","ja","hemingway","blecharczyk","frauen","reben","schroecksnadel","eisenbahnstrasse","lachen","menschen","schweiz","lynch","maier","theo","airbnb","wissen","handloegten","berger","mal","heute","sakamoto","manieren","wertschaetzung","kafka","eigentum","mann","kazhybek","treuhand","kohnen","clemenceau","menschen","frauen","vogel","neuseeland","mal","mal","carter","menschen","menschen","mugabe","menschen","menschen","b","dos","fury","menschen","menschen","menschen","bismarck","corina","jara","wiesn","polen","verzeihen","giscard","lamy","ja","menschen","frauen","ja","menschen","marcuse","menschen","ja","lesen","frauen","elias","menschen","vance","gauss","baerbock","menschen","menschen","menschen","menschen","lula","menschen"
"2","mark","frau","immer","wer","cool","immer","welt","jahre","berliner","mark","parasiten","menschen","welt","wurde","wer","ina","welt","menschen","wurde","heute","leben","leben","menschen","diva","mann","reich","wurde","sagt","menschen","tuymans","generation","rahe","kaufman","heute","leben","reich","menschen","warhol","vernon","schon","menschen","posener","geschichte","smith","menschen","leben","spannend","ja","weltkrieg","holocaust","frauen","frauen","menschen","sigg","cuno","menschen","welt","jahre","revolution","freiheit","kuenstler","augst","mann","platz","art","mann","damals","kunst","perelman","wurde","wurde","flimm","menschen","heute","menschen","gar","kunst","erzaehlt","wurde","wer","maischberger","mann","wurde","wurde","zeit","wurde","kinder","wurde","leben","loescher","kinder","wagner","immer","mann","paul","groenemeyer","hader","leben","wurde","tommy","frau","menschen","wurde","kunst","huesler","oppenheims","flick","wurde","vogel","kurator","leben","rauch","mal","gaulle","hipster","iba","leben","bardot","otte","flick","werk","hase","aschermittwoch","kunst","wurde","fars","hemingway","eisenbach","quandt","uecker","kinder","mark","mal","design","york","leben","buch","kentzler","friedman","schnecke","gladys","menschen","mal","scheinheiligkeit","verlag","babelsberg","brandstaedt","ja","pitanguy","mal","menschen","inka","film","ja","ja","buch","buch","sander","wer","leben","menschen","leben","frauen","leben","ja","heute","lindbergh","kunst","keller","jean","luegenpresse","hank","sagt","frau","klein","theater","heute","michelangelo","stadt","vielleicht","theater","menschen","buecher","heute","vielleicht","mann","proaño","frau","open","fleisch","leben","ja","ja","ja","villeroy","stadt","leben","menschen","hubrig","ja","ja","tykwer","loewisch","disney","erinnerungsorten","gabriel","safranski","lesen","leute","mennekes","wer","buchstaben","ja","frau","geissendoerfer","heute","chase","weimarer","menschen","ja","joana","demokraten","peng","republik","menschen","leben","kunst","wurde","santos","junge","geschichten","einladung","hahn","weiss","herrera","leben","menschen","ja","menschen","menschen","buch","leben","wurde","frau","menschen","leben","frauen","bustillo","menschen","ja","menschen","menschen","lesen","menschen","menschen","annalena","frau","ja","mal","mal","oktoberfest","ja"
"3","immer","ganz","schon","mark","poschardt","stadt","ja","menschen","welt","mises","herder","mann","mark","heute","leben","schon","stadt","wurde","schon","ja","mal","stadt","heute","welt","heinrich","frau","corbijn","leben","schneider","menschen","heute","einfach","menschen","wurde","welt","geschichte","schon","winkfield","nie","wen","frayn","welt","love","welt","christen","welt","schon","bbc","menschenwuerde","hitler","wurde","religion","erhard","kunst","iran","thomas","benckert","republik","don","menschen","mann","stadt","einfach","immer","giersch","wurde","erhard","menschen","klatt","picasso","musik","menschen","jauch","leben","wurde","arnold","wurde","afrika","frau","oppenheim","menschen","eschbach","ganz","leben","wer","trainer","frau","allianz","mann","wurde","immer","leben","ricardo","geschichte","wittgenstein","leben","widmer","menschen","ard","leben","wurde","kunst","heute","paulus","leben","moses","paar","stadt","kornrade","leben","hacker","somuncu","buch","banknote","familie","kirche","kirche","millionen","beitz","beck","menschen","ressortleiter","film","kate","mal","wurde","mal","stadt","serena","menschen","menschen","menschen","paul","mann","gutiérrez","mann","menschen","klais","leben","mal","faust","person","warum","buch","hans","schueler","kind","leben","stadt","ja","kunst","bause","menschen","don","sy","menschen","kuenstler","ja","dubai","wer","heute","heute","menschen","studenten","buecher","kapitalismus","heute","museum","spaeter","leben","heute","heute","luerssen","theater","trenk","geschichte","mal","gerade","schmidt","menschen","ja","familie","momox","leute","kuenstler","helden","spaeter","hamstern","airbnb","menschen","alte","george","heute","menschen","heute","loewith","menschen","ja","ja","schon","br","kutscher","ja","damals","wyckes","nahles","meidinger","leben","ja","frauen","menschen","musik","ostdeutschen","heute","wurde","ja","leute","leben","dumbo","sagen","mallwitz","mann","li","spanien","shanghai","ja","hof","menschen","isabel","menschen","leben","leben","grosse","menschen","menschen","heute","ude","damals","maradona","ja","ja","putin","ja","ja","camus","frau","menschen","ja","lesen","menschen","lesen","mann","frauen","mann","frauen","menschen","mal","mal","mann","ja","menschen","mal"
"4","heute","menschen","welt","wittgenstein","wurde","menschen","mark","immer","ja","leben","aleman","frau","franc","anita","welt","leben","menschen","weiss","merloni","wedel","fernsehen","mann","ja","wurde","stadt","quadrat","mann","meyer","ringelnatz","bilder","studenten","premiere","immer","schoenheit","immer","wurde","ja","ja","wurde","mann","vater","krieg","kunst","immer","bush","mal","zeit","athleten","museen","ganz","heute","immer","paul","wurde","khomeini","sylt","don","picasso","rogge","frau","heute","menschen","wer","kino","heute","menschen","wurde","krieg","mal","kaminer","wer","mann","sz","kurt","wer","deripaska","mann","heute","menschen","leben","familie","wurde","mann","menschen","nie","immer","frauen","schon","frau","immer","wurde","malthus","kinder","frauen","wurde","ja","leben","erhardt","fugger","schon","schon","leben","hotel","woodstock","klettersteige","haus","mao","kunst","hustvedt","immer","schnabel","neo","vielleicht","wurde","maenner","buch","muybridge","turbofolk","toleranz","mark","opfer","stiebel","mann","mann","stadt","moderne","christies","mann","geschichte","schmidt","autisten","mal","heute","mal","mal","schmidt","sarrazin","leben","leute","geschichte","leben","ja","abenteuer","stage","kinder","maenner","leben","menschen","buch","leute","ja","buch","weiss","riegel","schulze","ja","guston","leute","mann","menschen","leben","leute","geschichte","krieg","menschen","universitaet","werke","menschen","menschen","angst","wurde","oft","film","heute","hénokiens","leben","leben","menschen","immer","familie","menschen","bibliothek","buch","mann","bachelor","mal","mal","croissant","menschen","leben","sprache","mal","tag","the","anfuehrungszeichen","heidegger","peaks","hans","menschen","duden","geissler","vielleicht","roland","menschen","erhard","ja","menschen","wer","mann","a","manns","sprache","ostdeutsche","kunst","menschen","einfach","sopranos","collier","stadt","immer","ja","ja","jerry","buch","mann","museum","vielleicht","revolution","ja","leute","alten","gott","familie","paar","immer","immer","gréco","buch","diego","mal","heute","serner","kultur","lipp","leben","ja","ja","peralta","heimat","bayern","seite","leben","scherzant","wurde","miss","mal","leben","kuehn","leben","leute","mal","paar"
"5","kabila","leben","taxe","menschen","hague","nie","schon","wissen","berlin","heute","leben","wurde","harrods","berber","wort","ja","immer","leben","burberry","menschen","leute","immer","leben","schon","schon","kunst","liechtenstein","heute","wurde","ulbricht","welt","muenzen","stiftungen","frauen","baring","tomczyk","frau","schreiber","immer","lang","wurde","reagans","taxe","mal","welt","wurde","wer","thatcher","opfer","wort","leben","augusten","johannes","menschen","zeit","heute","menschen","immer","rudi","sagt","haus","mann","emphatiker","las","mann","khieu","menschen","heute","mathematiker","mann","dylan","carter","grippe","alten","stinnes","art","heute","koenig","spaeter","schon","grass","buch","roman","mann","republik","schon","leben","heute","familie","frau","leben","spiele","mal","wurde","leben","schmidt","wasser","naameh","frau","wurde","leben","theater","menschen","mann","gerade","mutter","darwins","millionen","leben","buch","buch","polak","wurde","leben","art","whitney","mal","erde","berger","familie","jaehrige","brot","wurde","biswas","laden","sammler","frau","familie","menschen","mann","sagt","leben","mann","grcic","paar","berliner","ja","heute","heute","heute","mal","schmidt","kopf","kinder","mann","frauen","ja","wurde","ivo","leben","vielleicht","frau","kinder","kinder","menschen","mal","kunst","menschen","art","márquez","tag","menschen","kinder","ausbildung","geschichte","vielleicht","leben","leben","uljanow","frau","welt","immer","tegmark","vielleicht","buch","frau","the","stadt","damals","spenden","hoefgen","sagen","menschen","lima","boese","spieler","kunst","ja","neger","kuenstler","geschichte","kinder","the","film","leben","picasso","alten","museum","guenter","the","menschen","familie","georg","natuerlich","ja","eigentlich","kulturen","menschen","haette","frau","schule","leute","republik","republik","stadt","wissen","geschichte","heute","buch","leute","leben","leute","heute","weimarer","fliess","generation","werk","weihnachten","vater","wilder","ukraine","damals","leute","ja","paar","ja","paar","geschichte","heute","borchert","mal","mal","wort","mal","liebe","vielleicht","ludwig","park","seite","leben","ja","mal","mal","davis","film","frau","kinder","leute","ja","frau","wiesn","aktivisten"
"6","raab","ferguson","ganz","welt","schon","mark","leben","nie","adler","wurde","wurde","lake","mehr","tango","immer","deppendorf","wer","wer","platz","schon","film","kim","schon","menschen","wurde","derrida","menschen","welt","mann","ganz","schon","weitzel","ja","kirche","ostermaier","alte","nick","wurde","evans","menschen","brandt","ronald","tragoedie","eitingon","konservative","flick","weiss","immer","spaeter","frau","wer","queen","kunst","damals","welt","schon","wer","ja","wurde","kinder","nie","geschichte","wurde","james","star","studenten","wort","wurde","watling","menschen","alten","schon","wurde","ja","leben","wer","immer","wurde","heute","sal","mann","verlag","quidde","heute","geschichte","saftig","mann","zeit","heute","kinder","urlaub","mann","wer","frau","geschichte","mann","buch","oft","schneider","familie","holtzbrinck","frau","generation","wurde","denke","sagt","john","mann","schwartz","bjoerndalen","picciotto","kunst","kunst","wer","frau","kunst","gucci","menschen","buch","herbert","leben","eifrige","familie","wurde","alte","kolb","paris","geschichte","familie","einfach","mutter","small","vielleicht","ja","ja","ja","eltern","mann","wurde","porsche","menschen","leben","buch","ja","leben","leben","frau","frau","leben","wer","leute","kinder","frau","kunst","muenchen","leben","menschen","mal","frau","mal","new","buehne","oxytocin","paar","weidenfeld","unrechtsstaat","ludwig","immer","geschichte","wurde","menschen","spaeter","frauen","spoe","natuerlich","spaeter","menschen","ganz","geschichte","geschichte","frau","krieg","nemec","leben","vernunft","ja","eltern","heute","stueck","ja","junge","vater","wagner","leben","ganz","erzaehlt","ganz","heute","mann","bauern","ganz","weiss","henriette","berliner","geschichte","damals","ja","frauen","heute","sohn","heute","leben","sprache","prantlhausen","arbeit","ki","heute","lutes","frauen","menschen","frau","heute","shitstorm","geschichte","mal","frau","martin","geruch","damals","mann","paar","wort","paar","mutter","leben","víctor","ja","polnischen","sagen","immer","leute","menschen","fourest","menschen","frau","job","buch","mal","wurde","mal","bergengruen","ja","mann","erhard","lesen","ministerin","ja","lesen","leute","leben","bolsonaro","gesellschaft"
"7","ja","zuschauer","leben","mann","mann","ja","escobar","liebtreu","schon","menschen","bolanos","salt","wurde","mark","enzensberger","rusche","krieg","alten","ja","immer","signs","rothenburg","vielleicht","geschichte","ja","werke","leben","damals","ganz","geschichte","wurde","schon","schwarzen","brandt","generation","heinrich","jahre","krankheit","buch","intelligenz","jordan","mann","pfund","sagt","immer","wer","mag","leben","heute","ja","platz","religioesen","papst","vielleicht","wurde","welt","diner","wurde","bruno","schiller","leben","vater","schon","heute","gab","ganz","schon","kuenstler","immer","mal","hitler","ja","fabercastell","damals","schon","nie","leben","leben","schaut","immer","immer","clark","rhett","mutter","oft","frontzeck","schon","kinder","vater","mount","mann","geschichte","heute","sagt","new","wurde","mann","frau","heute","geschichte","spaeter","mann","leben","derneburg","wessel","wurde","erbgut","leben","mann","kunst","mann","sammler","kreher","ja","karl","menschen","oktoberfest","wurde","vater","baier","familie","bernhard","jahre","marsh","mann","taxe","krieg","ganz","mal","frau","elmo","wurde","immer","immer","immer","wurde","alten","kinder","ja","bailey","frauen","mal","vielleicht","stadt","suhrkamp","wurde","wurde","hedwig","ja","frau","manchmal","frauen","dingwortnusseck","mal","olympia","paar","leute","stiftung","kolumbus","ja","mal","celso","leute","spiekermann","leben","wurde","frauen","potosí","fritz","sagt","stadt","werk","geschichte","frauen","heute","namen","tag","gmat","menschen","ja","hewitt","mal","warhol","menschen","mal","menschen","ganz","oft","buch","art","punk","pauls","film","spaeter","welt","heideggers","wer","frau","ehe","gar","eben","film","vielleicht","schon","eigentlich","frau","rechten","weiss","familie","the","mal","menschen","stadt","menschen","heute","streik","medien","menschen","gerlach","mann","menschen","paar","wirklich","wurde","vater","bild","frauen","mann","menschen","wurde","ja","braendle","corona","arruda","ja","natuerlich","wurde","weiss","ja","legien","spaeter","nawalny","hotspot","asmus","stadt","heute","heute","taeckelburg","kinder","kinder","frau","buch","seite","buch","seite","kinder","lesen","sagt","n","roman","sagt","leben"
"8","menschen","wurde","vielleicht","zeit","coolen","ganz","pablo","manfred","wurde","beresowskij","frauen","ja","royère","meter","ja","sagt","cranach","oft","immer","damals","galerien","wurde","ullrich","immer","jahre","jahre","christiansen","wurde","welt","spieler","zeit","wer","mann","buch","november","schon","hoffmann","sprache","jesus","welt","immer","menschen","widerstand","johannis","wurde","menschen","dona","schon","schon","voelkermord","kinder","wurde","smeets","kuenstler","gegenwart","immer","mann","heute","leben","haribo","schoellgen","kinder","liebe","stadt","menschen","trikot","nie","kluge","corte","vater","schon","wer","frau","wer","mann","simmons","schon","mann","jahre","heute","sebastian","wer","bulthaup","frau","immer","damals","geschichte","menschen","krieg","heute","stadt","adam","walle","leben","berliner","menschen","wurde","nie","menschen","ja","schmidt","junge","film","leben","paul","kinder","geschichte","seiten","kampagne","seiten","chuck","gerber","hast","spaeter","zug","leben","krieg","christies","leben","spaeter","jahrhundert","leben","heute","fellowes","wer","jahre","ganz","jaehrige","trainer","ja","dern","heute","buch","designer","wer","kinder","kirche","mal","ukraine","buch","mann","kunst","wurde","entertainment","ja","flick","frueher","autismus","leute","kinder","buch","anneliese","mal","reichsmark","grube","heute","toraja","wirklich","and","krieg","leute","ullstein","mal","breitenreiter","autoren","schon","damals","heute","laubach","ferguson","ganz","online","krieg","paar","menschen","sagen","immer","snyder","theater","sagt","arbeit","geschichte","stadt","mal","oft","heute","schon","triberg","berliner","heute","damals","spaeter","mal","heute","lehrer","ja","paar","hoffmann","firma","heute","welt","borries","heute","wurde","welt","kunst","respekt","gluecklich","wurde","vater","bodensee","frauen","weimar","leute","krieg","sagen","ja","republik","mann","warum","heute","damals","film","mal","autismus","immer","maenner","damals","leben","revolution","viele","haarmann","leben","oft","mal","menschen","schon","heute","mal","schon","menschen","leute","frau","leben","bayern","jeske","mal","schon","mal","fc","maenner","paar","schon","frau","stadt","ja","job","frau","venus","schon","leute","manchmal"
