"","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01"
"Share (in %) on ""wirtschaft""&""unsicher""-corpus","12.8219","13.6123","9.5541","6.8085","13.8022","8.9496","9.5121","8.4352","10.1023","10.483","7.288","8.1362","5.2226","6.4752","12.8366","9.5541","8.7718","10.4759","6.8315","5.4033","8.6523","7.0324","8.1235","6.1316","5.8444","6.0972","8.0563","5.1819","7.9522","10.0006","10.3853","18.1289","9.6181","7.3073","8.9684","15.1089","7.5462","10.9713","9.8307","17.5482","17.3498","18.494","15.7246","11.1027","14.9768","11.9599","12.8357","13.3327","14.8109","20.4348","19.5585","23.344","20.9009","12.9441","12.2272","15.657","13.7187","23.457","13.6461","12.1344","10.9518","14.2782","16.0613","10.6186","18.5471","18.7648","13.7193","13.8658","14.2857","10.2446","11.1236","12.5645","10.7819","12.595","11.3667","13.6359","12.2434","16.6458","13.5048","10.7524","8.6495","11.2226","11.7445","12.6635","13.5432","11.2087","10.1743","9.2462","10.1506","14.4197","13.4243","11.4685","10.3132","6.0665","6.9867","7.8736","7.3528","8.3685","7.9445","7.423","7.8745","7.2554","6.8484","7.715","8.6975","10.6547","10.6868","10.5522","11.5441","8.2455","10.6427","9.3869","9.0764","9.1603","7.1059","10.7835","10.8582","11.7826","10.4099","8.1998","9.2002","10.9279","14.0114","12.3888","11.7592","9.7333","8.7157","15.2457","9.3323","5.5888","7.5922","7.1641","9.2156","7.5351","7.8372","8.1017","6.05","6.9369","6.2407","9.323","9.0264","7.9126","7.1977","10.0699","9.2222","9.6648","8.2698","9.2327","12.4917","10.9109","9.6156","10.5547","8.788","7.8873","10.2784","11.4543","10.5401","14.1739","7.6543","8.7021","9.6068","9.077","8.5582","11.7975","10.9316","8.5988","13.1597","9.1249","8.3359","8.5059","11.7928","11.6904","14.6659","13.1767","10.717","19.5212","13.4862","12.2345","14.7634","11.5006","15.2626","10.7488","12.2036","12.0028","12.339","11.0603","16.1768","13.2007","14.5971","15.4448","22.0705","16.4225","19.8376","15.9634","17.0522","16.1238","15.1018","14.0915","18.2435","16.6766","14.3828","14.6349","11.6734","16.5726","19.571","27.2061","19.7775","25.9013","13.724","10.3158","15.0949","15.2436","13.5893","14.8126","17.2832","16.8202","22.223","8.7768","14.7292","16.848","12.6929","19.8251","17.259","16.4009","9.2272","11.6247","13.4167","13.0315","17.0628","16.6438","17.3072","22.3305","15.5166","15.2219","25.305","26.9955","25.7687","19.4309","19.2734","17.9454","28.7423","29.8235","27.8343","21.3287","25.9514","22.7258","21.5949","18.059","14.5876","14.3969","12.9365","13.4726","14.7595","15.9392","11.7278","13.3747"
"Share (in Promille) on entire corpus","3.1369","3.7112","2.2933","1.9226","3.8015","3.0286","2.6657","1.9562","1.9009","2.2556","1.4925","2.4555","1.341","1.1439","2.6451","2.212","2.2701","1.9753","1.49","1.2431","1.593","1.6351","2.0701","1.7162","1.3841","1.1601","1.4125","0.7527","1.9339","2.2039","1.739","2.2759","1.8007","1.2093","1.7933","2.8403","1.6001","2.3541","1.6111","3.7075","4.518","5.2915","2.8947","2.029","2.9906","2.7841","2.4342","3.1564","3.2884","3.6561","4.1365","5.2469","3.6814","2.4374","2.0811","3.3121","3.5978","7.753","3.9073","2.8663","2.1305","2.3655","3.3251","2.4307","4.8348","4.6223","2.3552","2.9883","3.0841","2.1647","2.2415","2.6314","2.3146","2.922","2.5434","2.7861","2.3237","3.4974","2.8826","2.291","2.3013","3.1465","3.6416","4.3438","4.7556","3.1137","3.6595","3.7888","4.3767","6.4958","6.3498","4.8173","3.8404","1.9924","1.8466","2.2847","1.7956","2.131","2.1812","2.1993","1.9683","2.0571","1.4797","1.5832","1.7475","1.9288","1.8213","2.121","2.7425","2.2217","2.9697","2.985","3.3897","2.6052","1.3611","2.808","3.1077","3.2409","3.692","3.5087","3.944","4.755","6.0851","5.4441","3.468","3.411","2.8735","6.065","3.5771","2.2043","3.6503","3.0791","3.4868","2.5256","2.7617","3.1846","2.2792","2.2016","2.409","4.095","4.2903","3.0424","2.3627","3.3335","3.7373","3.3924","3.0892","3.9687","4.5333","3.8491","3.2438","3.2093","2.3347","2.8067","4.0039","4.047","3.4704","3.9203","2.0193","2.7668","2.9407","3.1275","3.0725","4.4446","2.8565","2.8896","4.5097","3.179","3.645","2.8427","3.4598","2.6301","3.9526","3.8315","2.9293","5.4907","3.4647","3.0698","3.4707","4.1895","4.4071","3.1184","3.6688","3.921","3.5982","2.6313","4.8221","3.3521","3.7943","4.1836","7.4151","5.2566","9.2276","5.8428","5.3246","5.1622","4.0072","4.3993","5.2233","5.2105","4.7083","3.9647","3.8547","4.747","7.5443","10.2255","5.1319","6.4809","4.1563","3.4101","5.1155","5.5215","4.7867","5.0179","5.032","4.2352","5.4228","2.0856","3.5283","4.7731","2.9797","6.3542","6.2214","5.7601","3.1067","3.3506","2.5602","4.2222","5.1348","4.5896","2.623","5.2398","4.0274","4.4926","4.842","8.5146","6.7881","5.6557","5.1699","5.3662","9.1173","10.5376","12.2182","7.1193","12.7108","12.4365","9.7538","8.4298","8.4564","12.4793","10.6786","10.6395","16.16","13.9562","11.318","16.9387"
"1","prozent","prozent","aktien","kurse","prozent","euro","analysten","anleihen","aktien","anleihen","aktien","aktien","aktien","aktien","aktien","analysten","anleihen","anleger","euro","aktien","anleihen","aktien","aktien","aktien","anleger","aktien","anleihen","anleihen","prozent","aktien","anleihen","prozent","prozent","anleihen","anleihen","aktien","anleihen","analysten","anleihen","dollar","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","dollar","dollar","prozent","prozent","prozent","prozent","prozent","prozent","prozent","dow","prozent","dax","dollar","dollar","prozent","prozent","dollar","prozent","dollar","dollar","dollar","dollar","dollar","dollar","prozent","dollar","dollar","dollar","prozent","prozent","prozent","dollar","dollar","prozent","prozent","dollar","prozent","dollar","mrd","prozent","mrd","dollar","mrd","dollar","prozent","mrd","dollar","dax","dollar","prozent","prozent","anleger","prozent","prozent","aktien","anleger","dollar","dollar","dollar","aktien","aktien","dollar","anleger","dollar","dollar","anleger","gold","dollar","franken","anleger","prozent","franken","dollar","dollar","dax","anleger","dollar","dax","anleger","dollar","gold","gold","dollar","dollar","gold","dollar","dax","gold","gold","dollar","gold","gold","dollar","gold","dax","dollar","dollar","gold","anleger","dollar","dax","dax","aktien","dax","aktien","aktien","aktien","anleger","schweizer","aktien","dollar","dax","bundesanleihen","aktien","gold","dax","anleger","gold","dollar","anleger","dollar","anleger","anleger","aktien","gold","anleger","anleger","investoren","prozent","anleger","prozent","aktien","anleger","aktien","aktien","anleger","aktien","prozent","anleger","prozent","prozent","aktien","prozent","prozent","aktien","dax","prozent","prozent","prozent","aktien","prozent","prozent","prozent","prozent","anleger","prozent","anleger","prozent","prozent","prozent","prozent","prozent","prozent","prozent","dollar","prozent","prozent","dollar","prozent","prozent","gold","gold","prozent","prozent","gold","gold","dollar","prozent","dollar","prozent","dollar","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent"
"2","aktien","aktien","anleihen","analysten","euro","haendler","woche","prozent","anleihen","prozent","prozent","prozent","analysten","dollar","prozent","prozent","euro","anleihen","aktien","prozent","aktien","kurse","prozent","anleger","anleihen","prozent","anleger","analysten","euro","prozent","anleger","aktien","anleihen","aktien","anleger","prozent","prozent","dollar","rendite","anleihen","anleihen","anleihen","aktien","anleihen","aktien","anleger","anleihen","anleihen","aktien","anleihen","dollar","anleger","aktien","anleihen","dollar","dollar","anleihen","aktien","anleger","anleihen","analysten","dax","euro","kurse","dax","dax","aktien","dax","euro","dax","dollar","dollar","anleger","dax","dollar","dollar","prozent","dax","prozent","prozent","prozent","prozent","prozent","prozent","dollar","prozent","prozent","prozent","dollar","dollar","dax","prozent","prozent","dollar","dollar","prozent","kurse","pfund","dollar","mrd","dollar","investoren","prozent","mrd","dollar","dollar","prozent","aktien","prozent","dollar","anleihen","anleihen","dollar","anleger","anleihen","bundesanleihen","prozent","prozent","prozent","prozent","dax","aktien","dollar","aktien","anleger","aktien","prozent","dax","schweizer","dax","dax","schweizer","gold","dax","dollar","dollar","gold","franken","gold","gold","dollar","anleger","aktien","dax","dax","aktien","aktien","dollar","dax","gold","dollar","dollar","aktien","dollar","anleger","gold","investoren","dollar","dollar","aktien","aktien","anleger","prozent","aktien","dollar","anleger","prozent","prozent","franken","anleger","anleger","anleger","investoren","prozent","aktien","dollar","dollar","anleger","anleger","dollar","anleger","prozent","prozent","anleger","anleger","dollar","prozent","anleger","aktien","prozent","investoren","prozent","prozent","anleger","anleger","prozent","prozent","anleger","dollar","dollar","aktien","dax","aktien","dollar","dax","prozent","anleger","anleger","anleger","anleger","anleger","dollar","dax","anleger","prozent","aktien","prozent","investoren","dollar","anleger","anleger","gold","anleger","gold","prozent","dollar","gold","prozent","dollar","china","prozent","prozent","dollar","dollar","dollar","dollar","prozent","gold","prozent","dollar","prozent","dollar","dollar","dollar","dax","dollar","dollar","dax","dax","dollar","dollar","dollar","dollar","dollar","dax","dollar"
"3","anleger","anleger","kurse","aktien","haendler","prozent","dollar","haendler","rendite","kurse","anleihen","anleihen","anleger","anleihen","anleger","woche","aktien","aktien","dollar","aktienmarkt","staatsanleihen","anleihen","anleihen","anleihen","aktien","anleihen","aktien","prozent","aktien","dax","prozent","anleihen","anleger","prozent","prozent","anleihen","aktien","anleger","bonds","prozent","aktien","aktien","dollar","anleger","anleihen","anleihen","aktien","aktien","euro","aktien","aktien","aktien","anleger","rendite","dax","dax","rendite","dax","aktien","aktien","dax","woche","anleihe","anleger","dow","aktien","dax","punkte","punkte","woche","anleger","punkte","aktien","prozent","anleger","euro","euro","dollar","euro","anleger","anleger","usa","aktien","dax","dax","euro","anleger","euro","anleger","dax","dollar","aktien","dax","mrd","yen","mrd","dollar","mrd","prozent","anleihen","prozent","prozent","anleger","prozent","dax","kurse","dax","prozent","dax","kurse","anleger","prozent","aktien","dollar","anleger","prozent","dax","aktien","anleger","dollar","prozent","anleger","aktien","anleger","dax","dollar","aktien","aktien","dollar","aktien","gold","dollar","aktien","aktien","aktien","investoren","anleger","aktien","morgan","goldpreis","anleger","dollar","dax","gold","anleger","anleger","anleger","aktien","aktien","silber","goldpreis","anleger","dax","aktien","dollar","anleger","dax","dax","dax","anleger","prozent","aktien","dax","prozent","anleger","dollar","anleger","aktien","aktien","dax","snb","prozent","kurse","anleger","prozent","gold","aktien","dollar","aktien","dax","gold","aktien","dollar","prozent","silber","bundesanleihen","aktien","aktien","investoren","aktien","anleger","anleger","aktien","prozent","dax","aktien","anleger","dollar","prozent","anleger","dollar","prozent","dax","dax","prozent","anleger","aktien","aktien","aktien","prozent","dollar","anleger","anleger","aktien","aktien","anleger","investoren","anleger","duerfte","dollar","dollar","dollar","minus","dollar","anleihen","anleger","dollar","gold","gold","coronavirus","dollar","investoren","anleger","investoren","prozent","prozent","anleger","dollar","anleger","gold","investoren","investoren","investoren","usa","anleger","dax","dax","dollar","dollar","anleger","investoren","anleger","anleger","anleger","anleger","anleger"
"4","analysten","nasdaq","anleger","anleger","aktien","aktien","haendler","dax","usa","analysten","kurse","kurse","markt","analysten","woche","boerse","anleger","dollar","anleihen","boerse","kurse","prozent","dax","analysten","analysten","anleger","dax","aktien","kurse","anleger","analysten","dollar","renditen","anleger","aktien","anleger","mrd","euro","eur","anleger","dollar","dollar","anleger","aktien","rendite","aktien","euro","dollar","anleger","rendite","anleger","dollar","rendite","renditen","anleger","rendite","aktien","anleger","anleihen","anleger","kurse","analysten","anleihen","rendite","aktien","anleger","punkte","aktien","aktien","punkte","aktien","anleger","dax","euro","aktien","yen","bloomberg","euro","bloomberg","aktien","euro","anleger","anleger","punkte","anleihen","anleger","euro","basispunkte","euro","aktien","aktien","euro","aktien","gestern","euro","basispunkte","staatsanleihen","prozent","euro","dollar","renditen","rendite","rendite","pfund","kurse","basispunkte","kurse","dollar","analysten","pfund","aktien","dax","boerse","kurse","mrd","anleihen","aktien","anleger","dax","anleger","anleger","dax","japan","dax","aktien","kurse","anleger","gold","anleger","gold","anleger","gold","anleger","anleger","anleger","aktien","analysten","fitch","moodys","anleger","dax","aktien","gold","aktien","aktien","gold","dollar","anleger","dollar","dax","anleger","tonnen","anleger","dax","gold","aktien","anleger","aktien","aktien","dax","anleger","prozent","anleger","anleger","dax","dax","dax","dax","prozent","prozent","prozent","aktien","dollar","bundesanleihen","anleger","anleger","prozent","aktien","dax","prozent","aktien","dax","dax","gold","prozent","anleihen","minus","prozent","anleger","dollar","gold","renditen","dollar","dollar","prozent","dollar","investoren","aktien","aktien","aktien","dax","anleger","anleger","aktien","anleger","aktien","dax","dax","investoren","dax","aktien","aktien","dollar","usa","dax","usa","aktien","dezember","rendite","aktien","fmc","anleger","aktien","investoren","minus","aktie","china","china","deutlich","dollar","anleger","dollar","gold","gold","silber","anleger","gold","anleger","investoren","anleger","bitcoin","zuletzt","renditen","investoren","investoren","anleger","anleger","anleger","fed","dax","dax","aktien","fed","dax","dollar","dax"
"5","euro","analysten","analysten","anleihen","analysten","anleihen","euro","rendite","markt","dollar","rentenmarkt","punkten","bank","prozent","yen","dax","prozent","boersen","prozent","euro","boersen","rendite","anleger","prozent","markt","rentenmarkt","rendite","unternehmensanleihen","anleihen","kurse","dollar","rendite","aktien","investoren","kurse","euro","rendite","aktien","prozent","aktien","usa","anleger","renditen","rendite","anleger","dollar","anleger","anleger","anleihen","dollar","anleihen","dax","anleihen","anleihe","woche","analysten","dax","euro","dax","dax","anleger","punkte","aktien","punkte","anleger","woche","euro","plus","dollar","punkten","euro","yen","yen","anleger","yen","zehnjaehrigen","mrd","aktien","yen","kurse","usa","aktien","dax","aktien","analysten","usa","aktien","anleger","analysten","anleihen","kurse","punkte","analysten","basispunkte","kurse","anleihen","mrd","kurse","investoren","kurse","anleger","mrd","anleihen","kurse","mrd","prozent","aktien","punkte","mrd","punkte","kurse","aktien","investoren","anleihen","investoren","dax","anleger","dax","aktien","franken","dollar","prozent","dax","prozent","analysten","investoren","dax","prozent","prozent","dollar","dollar","anleger","dax","bank","gold","dax","franken","dollar","stanley","dax","aktien","kurse","aktienmarkt","yen","dollar","dax","boersen","edelmetall","prozent","prozent","investoren","aktien","boersen","anleger","aktien","dax","aktien","anleger","gold","prozent","dollar","dollar","dollar","investoren","silber","prozent","aktie","gold","snb","anleihen","investoren","kurse","anleihen","kurse","bonds","aktien","dax","prozent","prozent","aktien","dax","oelpreis","aktien","dax","aktien","investoren","investoren","anleihen","gold","investoren","aktien","kurse","anleihen","dax","investoren","investoren","dollar","dax","dax","dax","anleger","dollar","dollar","anleger","dollar","investoren","dollar","dollar","dollar","usa","usa","boersen","investoren","investoren","unternehmen","dax","dollar","dollar","bundesanleihen","investoren","fresenius","investoren","dollar","anleger","anleger","china","anleger","milliarden","china","anleger","goldpreis","unternehmen","investoren","rund","anleger","usa","investoren","rund","gold","investoren","anleger","minus","bitcoin","anleger","dollar","minus","fed","investoren","aktien","barrel","anleger","dax","dax","aktien","aktien","aktien"
"6","dollar","markt","prozent","prozent","anleihen","dollar","anleihen","kurse","kurse","anleger","anleger","punkte","anleihen","anleger","kurse","yen","mrd","yen","analysten","anleger","analysten","woche","analysten","dollar","prozent","bonds","staatsanleihen","dollar","renditen","punkten","kurse","woche","rendite","rendite","woche","analysten","dollar","haendler","renditen","kurse","euro","euro","analysten","dollar","mrd","kurse","dax","rendite","rendite","anleger","dax","renditen","markt","staatsanleihen","anleihen","anleihen","anleger","analysten","kurse","rendite","prozent","prozent","punkten","investoren","punkte","anleihen","dollar","anleger","dax","jones","punkten","aktien","prozent","yen","dax","rendite","analysten","punkte","anleger","punkte","papiere","euro","basispunkte","kurse","basispunkte","basispunkte","basispunkte","aktien","aktien","euro","punkte","anleger","lehman","staatsanleihen","rendite","schaeden","basispunkte","anleihen","anleger","rendite","aktien","anleihen","investoren","dax","anleihen","anleger","gestern","punkten","aktien","aktien","mrd","kurse","anleger","dax","prozent","renditen","punkte","boerse","anleihen","dax","analysten","analysten","oelpreis","silber","investoren","dax","dollar","anleger","snb","prozent","aktien","prozent","boersen","index","boersen","aktie","investoren","herabstufung","renditen","aktie","goldpreis","dax","boerse","anleger","yen","yen","kurse","goldpreis","anleger","aktien","aktien","china","investoren","goldpreis","depot","goldpreis","gold","analysten","investoren","plus","punkten","punkten","maerkte","punkten","ubs","gold","kurse","dollar","dollar","index","franken","anleihen","prozent","investoren","investoren","china","boersen","investoren","investoren","investoren","prozent","investoren","gold","dollar","dollar","aktien","dollar","dax","kurse","rendite","dax","investoren","investoren","donald","kurse","dax","dax","bank","donnerstag","investoren","plus","kurse","punkten","investoren","investoren","boersen","minus","usa","dax","investoren","dax","usa","punkte","dax","dollar","investoren","usa","zahlen","anleger","usa","china","aktien","quartal","china","gold","experten","rund","usa","jahr","aktien","investoren","aktien","deutlich","minus","goldpreis","fed","euro","quartal","usa","bitcoin","gold","anleger","dax","bitcoin","aktien","fed","minus","aktien","investoren","minus","analysten","erwartet","minus","aktie","franken","quartal"
"7","markt","minus","yen","dollar","dax","woche","markt","analysten","prozent","woche","rendite","yen","kurse","kurse","rendite","aktie","analysten","kurse","yen","bonds","bundesanleihen","boerse","rendite","staatsanleihen","mrd","renditen","kurse","renditen","dollar","analysten","renditen","anleger","mrd","mrd","investoren","papiere","erwartet","kurse","aktien","euro","anleger","dax","anleihen","kurse","anleihe","renditen","dollar","euro","dollar","zehnjaehrigen","usa","analysten","dax","zehnjaehrigen","aktien","aktien","renditen","dollar","investoren","dollar","renditen","anleger","punkte","dollar","punkten","punkte","minus","euro","anleger","anleger","dax","plus","euro","punkte","euro","kurse","aktien","woche","anleihen","usa","dax","kurse","usa","punkten","anleger","analysten","mrd","rendite","punkte","anleger","euro","kurse","euro","rendite","anleger","investoren","euro","renditen","dax","investoren","kurse","anleger","stieg","basispunkte","basispunkte","anleihen","anleihen","anleger","experten","analysten","investoren","dollar","dax","aktien","dollar","dollar","mrd","anleihen","kurse","kurse","investoren","barrel","erdbeben","punkte","kurse","boerse","kurse","punkte","gold","franken","punkten","investoren","franken","analysten","punkte","boersen","silber","schweizer","goldpreis","kurse","investoren","boerse","anleihen","prozent","prozent","usa","punkten","boerse","boerse","anleger","prozent","goldpreis","usa","analysten","punkten","kurse","shell","prozent","prozent","analysten","aktie","boersen","carmignac","rendite","prozent","investoren","investoren","investoren","anleger","zinsen","aktien","investoren","rendite","dollar","edelmetall","prozent","investoren","dax","boersen","analysten","boersen","china","anleihen","investoren","anleihen","gold","rendite","dollar","dollar","anleihen","rendite","dollar","dax","plus","anleihen","bank","bank","punkten","zuletzt","usa","investoren","punkten","erwartet","punkten","punkten","zinsen","mittwoch","mittwoch","donnerstag","anleihen","boersen","investoren","euro","fresenius","usa","minus","erwarten","anleihen","investoren","china","investoren","dax","usa","goldpreis","investoren","aktien","minus","unternehmen","anleger","investoren","edelmetall","anleihen","aktien","deutlich","nachfrage","goldpreis","fed","investoren","rund","deutlich","renditen","gold","deutlich","stieg","punkten","punkten","investoren","quartal","usnotenbank","analysten","usa","woche","investoren","investoren","investoren","analysten"
"8","anleihen","euro","aktienmarkt","yen","woche","freitag","dax","yen","analysten","euro","punkte","rendite","hsbc","plus","dollar","dollar","erwartet","euro","staatsanleihen","dollar","dax","aktie","euro","kurse","dax","dax","aktie","investoren","staatsanleihen","anleihen","staatsanleihen","usa","markt","papiere","rendite","rendite","unternehmensanleihen","index","kurse","mrd","rendite","rendite","kurse","freitag","dax","dax","analysten","renditen","kurse","woche","kurse","freitag","analysten","mrd","analysten","aktie","staatsanleihen","woche","analysten","punkte","investoren","euro","dax","zehnjaehrigen","anleihen","punkten","freitag","aktie","haendler","aktien","yen","prozent","pfund","punkten","boersen","anleger","gestern","anleger","gestern","investoren","kurse","anleihen","mrd","analysten","aktien","mrd","dax","mrd","gestern","kurse","punkten","analysten","aktienmarkt","anleger","dax","analysten","anleihen","euro","rendite","papiere","anleihen","renditen","dollar","aktien","aktien","aktien","pfund","kurse","kurse","dax","dax","investoren","bundesanleihen","staatsanleihen","papiere","staatsanleihen","kurse","plus","staatsanleihen","rendite","aktienmarkt","investoren","prozent","analysten","gold","analysten","punkte","punkten","dax","morgan","investoren","boersen","edelmetall","boersen","franken","prozent","aktionaere","investoren","investoren","aktien","kurse","wandelanleihen","dividenden","boersen","aktienmarkt","prozent","yen","dax","punkten","boerse","boerse","edelmetall","gold","investoren","prozent","investoren","aktie","tonnen","boersen","investoren","rendite","investoren","gold","boersen","august","donnerstag","gold","punkte","dax","dollar","zinsen","renditen","anleger","anleihen","anleihen","boerse","kurse","fed","usa","kurse","kurse","kurse","investoren","bonds","usa","prozent","bundesanleihen","aktienmarkt","anleihen","dax","anleihen","usa","kurse","boerse","bank","trump","punkten","dienstag","euro","zuletzt","donnerstag","anleihen","investoren","plus","franken","street","experten","zehnjaehrigen","woche","renditen","investoren","china","quartal","dollar","investoren","bank","china","leicht","usa","brexit","milliarden","rendite","investoren","renditen","deutlich","investoren","nachfrage","experten","usa","usa","coronavirus","anleger","nachfrage","quartal","investoren","euro","minus","deutlich","bitcoin","minus","minus","bitcoin","anleger","aktien","fed","punkte","usnotenbank","gold","punkten","bank","opec","freitag","usnotenbank","boersen","minus","minus"
