"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2001-01-01,8840,7483,5784,6504,6962,7820,8928,3224,4609,9477
2001-02-01,8779,8449,9917,9609,6724,9476,10548,2024,4021,7942
2001-03-01,9561,8699,10575,7780,5876,10281,7308,2496,4895,9020
2001-04-01,11423,7082,9443,10104,4229,11836,5038,2439,6330,6072
2001-05-01,11266,8165,5928,6807,6683,9233,10492,2561,6373,8509
2001-06-01,10121,11797,7657,12982,6545,10403,8106,3033,10613,9317
2001-07-01,7498,8915,8536,11543,4554,10516,7239,2905,8265,6132
2001-08-01,7943,10197,6751,7942,4935,8342,5416,3474,4419,4788
2001-09-01,4891,6359,3374,5010,5646,5333,4906,2396,4753,5895
2001-10-01,7443,7062,3473,8595,6633,5943,6292,1634,4584,8362
2001-11-01,5755,8340,4396,8419,4445,5931,3931,1626,4949,6146
2001-12-01,7359,8532,8209,11381,6650,10542,5949,1585,6297,6614
2002-01-01,3690,7801,8455,10270,6972,9456,3501,1861,8664,6365
2002-02-01,2937,7367,6662,6064,4233,6644,3019,2036,3193,4469
2002-03-01,5187,7549,7303,5997,5833,7805,7399,1483,2929,6155
2002-04-01,5108,7632,7164,6208,4575,9188,5924,3085,5699,7422
2002-05-01,5589,8825,6293,8290,4339,8073,5641,2513,8734,6011
2002-06-01,5598,6886,6095,5057,3980,6284,5265,2544,2276,6273
2002-07-01,5080,7093,4926,6300,4389,7879,3656,4204,2968,7022
2002-08-01,4604,5773,6673,5872,3863,9295,2963,5242,4030,6522
2002-09-01,4970,4360,4442,4456,4288,5457,3703,2029,3259,5834
2002-10-01,4676,4322,8258,8797,4592,8703,4005,1976,6377,5245
2002-11-01,8199,4611,3891,10289,6111,8043,4866,1657,7876,4357
2002-12-01,9533,4323,5482,10528,4243,8802,3684,2505,6507,4475
2003-01-01,4684,5130,5945,7698,4048,9878,3205,2660,4686,6905
2003-02-01,6151,4196,3197,5752,5313,4008,2622,2120,3113,6531
2003-03-01,5547,4117,2464,4743,2691,5470,3512,2362,5935,6752
