"date","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
2001-01-01,1.19396111267773e-05,1.01067997807325e-05,7.8120713526335e-06,8.78452836748415e-06,9.40311907970859e-06,1.05619636890723e-05,1.2058466984148e-05,4.35444641094233e-06,6.22507552978697e-06,1.27999654579716e-05
2001-02-01,1.1706681939532e-05,1.12666312458259e-05,1.32241900893426e-05,1.28134761085503e-05,8.96636625599875e-06,1.26361223441172e-05,1.40656203551866e-05,2.69897758806387e-06,5.36195102846089e-06,1.05905533618593e-05
2001-03-01,1.13354388454751e-05,1.0313459106452e-05,1.25376284688735e-05,9.22390066078825e-06,6.96653474071873e-06,1.21890646135686e-05,8.66430154614916e-06,2.95923599605751e-06,5.80346963169132e-06,1.06940339280604e-05
2001-04-01,1.57640496316076e-05,9.77335196454919e-06,1.30315959617676e-05,1.39437938788202e-05,5.83613463118872e-06,1.63340008263773e-05,6.95257655992641e-06,3.36588611148482e-06,8.73557158085235e-06,8.37952458750955e-06
2001-05-01,1.6307863016306e-05,1.18190752288424e-05,8.58095259725384e-06,9.85333068986283e-06,9.67383707952891e-06,1.3365036324299e-05,1.51874754808346e-05,3.70712206504168e-06,9.22510305369412e-06,1.23170252446074e-05
2001-06-01,1.51629272200447e-05,1.76738516366829e-05,1.14714488414072e-05,1.9449177074461e-05,9.80548944325585e-06,1.55854097292881e-05,1.21441248933586e-05,4.5439342217563e-06,1.59000243638311e-05,1.3958402619223e-05
2001-07-01,1.02921541759792e-05,1.22372038515411e-05,1.17169682643583e-05,1.58445366302118e-05,6.25106296577881e-06,1.44348217277404e-05,9.93663698051664e-06,3.9875577328914e-06,1.13449792297237e-05,8.41710981689847e-06
2001-08-01,1.0566099773544e-05,1.35644617135626e-05,8.98045317527323e-06,1.05647695331092e-05,6.56473654569299e-06,1.10968657070255e-05,7.2045821948274e-06,4.62125527046352e-06,5.8783324813409e-06,6.36919120177873e-06
2001-09-01,7.11898428121251e-06,9.25569843472303e-06,4.91094928742814e-06,7.2921920361633e-06,8.21790743237085e-06,7.76232737102971e-06,7.14081719150043e-06,3.48744353665614e-06,6.9181215065637e-06,8.58033374315023e-06
2001-10-01,1.0139954794929e-05,9.62090027701041e-06,4.73143396517377e-06,1.17093794790292e-05,9.03645306392099e-06,8.09643307084011e-06,8.57189245864478e-06,2.22607633144081e-06,6.24500238881559e-06,1.13919524378874e-05
2001-11-01,8.47967220887509e-06,1.22885258422273e-05,6.47726134321719e-06,1.2404927945529e-05,6.54946011615114e-06,8.73899841369907e-06,5.79210972251746e-06,2.39582050593065e-06,7.2920760663289e-06,9.0557889480011e-06
2001-12-01,1.05925657241431e-05,1.22809852912609e-05,1.18160581640835e-05,1.63818440693671e-05,9.57202908894572e-06,1.51741850610024e-05,8.5630076767125e-06,2.28145354977127e-06,9.06391987565282e-06,9.52021058560707e-06
2002-01-01,5.18148950307596e-06,1.09541462367197e-05,1.18724915307608e-05,1.44211103513794e-05,9.79006634564921e-06,1.32780934257686e-05,4.91609613828426e-06,2.61321191469495e-06,1.21659688494987e-05,8.9377183433817e-06
2002-02-01,4.57276914701022e-06,1.14700682008935e-05,1.03724167713252e-05,9.44135924667007e-06,6.59057943455712e-06,1.03443916284426e-05,4.70043924236427e-06,3.16995505049806e-06,4.97134895689603e-06,6.9580201967956e-06
2002-03-01,6.93113125610093e-06,1.00873548973021e-05,9.75863727844709e-06,8.01349414745272e-06,7.79434906821606e-06,1.04294350209886e-05,9.88691732482953e-06,1.98165946651199e-06,3.91387766514741e-06,8.22462172379047e-06
2002-04-01,7.51913724057651e-06,1.12345449138763e-05,1.05456341408555e-05,9.13837196348844e-06,6.73454441574736e-06,1.35250260310135e-05,8.7203149986639e-06,4.54121738198483e-06,8.3891078962501e-06,1.09254182849567e-05
2002-05-01,9.06793004340246e-06,1.43182112422664e-05,1.02101420223889e-05,1.34501950366445e-05,7.03985479662252e-06,1.30981211738036e-05,9.15229797366851e-06,4.07724247612639e-06,1.41705673643008e-05,9.75260824671537e-06
2002-06-01,8.51762501415773e-06,1.04773786794373e-05,9.27383430891236e-06,7.69446761282524e-06,6.05576054954408e-06,9.56140685762187e-06,8.01094957119337e-06,3.87081779850255e-06,3.46304296752822e-06,9.5446698309774e-06
2002-07-01,7.93277656221657e-06,1.10762173535044e-05,7.69229475304701e-06,9.83789219330008e-06,6.85373156133239e-06,1.23036115223827e-05,5.70910061249287e-06,6.56484107629104e-06,4.63474032217693e-06,1.09653458700561e-05
2002-08-01,7.15311812277848e-06,8.96936379730673e-06,1.0367670988988e-05,9.12317758839167e-06,6.00184520162756e-06,1.44414059407528e-05,4.60353800994627e-06,8.14436255421477e-06,6.26130886941731e-06,1.0133066115717e-05
2002-09-01,8.2139095037411e-06,7.20576366927791e-06,7.34128491259919e-06,7.36442268584917e-06,7.08676940684947e-06,9.01877347322237e-06,6.11994102461837e-06,3.35332442315708e-06,5.38614307297631e-06,9.64184065288241e-06
2002-10-01,6.76889369547322e-06,6.25644964752678e-06,1.19541326213041e-05,1.27343793496745e-05,6.64729680274016e-06,1.2598306636378e-05,5.79756613566515e-06,2.86042214333941e-06,9.23123077331751e-06,7.59256788553401e-06
2002-11-01,1.31791616698405e-05,7.41177149160075e-06,6.2544356698804e-06,1.65386503745565e-05,9.82288778685148e-06,1.29284055751344e-05,7.82166126179338e-06,2.66347980082031e-06,1.26599679609298e-05,7.00348913227163e-06
2002-12-01,1.6341636819722e-05,7.41056288384119e-06,9.3973411356043e-06,1.80472833775341e-05,7.2734254721578e-06,1.5088543720465e-05,6.31517780802011e-06,4.29411520333615e-06,1.11544142227977e-05,7.67112396603963e-06
2003-01-01,7.73367193609857e-06,8.4700548745059e-06,9.81568737406191e-06,1.27100355602235e-05,6.68358326159842e-06,1.63093961111831e-05,5.29172044303926e-06,4.39188030529936e-06,7.73697410174165e-06,1.14007268827414e-05
2003-02-01,1.05105310423554e-05,7.16992168000701e-06,5.46287883960496e-06,9.82873915714974e-06,9.07859720826435e-06,6.84867638071213e-06,4.48034667420838e-06,3.62255337502737e-06,5.31934370587746e-06,1.11598566473131e-05
2003-03-01,8.68131532962356e-06,6.44329821742567e-06,3.85627563947944e-06,7.4230175966116e-06,4.21154129295421e-06,8.56080671588983e-06,5.49644482380349e-06,3.69664085245553e-06,9.28855353908704e-06,1.05671968822099e-05
2003-04-01,5.9794168881973e-06,5.70968236917175e-06,7.27921141611909e-06,5.85812686957507e-06,6.19303214487526e-06,1.07242100047474e-05,2.98337239834973e-06,2.34433692710127e-06,4.68686355541714e-06,5.81467969872532e-06
2003-05-01,1.61396676752641e-05,8.02404754635472e-06,7.58580732984299e-06,1.43392852932514e-05,7.36995767096408e-06,1.16329884338226e-05,7.39775649066818e-06,1.78566535981646e-06,6.80089947937422e-06,1.19518572480755e-05
2003-06-01,1.42559020389552e-05,8.70350938508537e-06,7.44127735734068e-06,9.69079978302428e-06,7.64837624732425e-06,9.95145873076222e-06,8.62852530422925e-06,5.36493245172954e-06,5.50775927240787e-06,9.08735646565836e-06
2003-07-01,9.80792978455332e-06,6.73535984728376e-06,4.86970410230204e-06,7.69777658384361e-06,6.04235750461526e-06,8.45618588919094e-06,6.62790555145426e-06,1.22092997000473e-06,4.22186371005463e-06,8.14005223624329e-06
2003-08-01,4.97356644016957e-06,5.51211751746756e-06,3.74907135915517e-06,3.35413390246998e-06,4.75436670344477e-06,8.59225174903154e-06,9.82808474746273e-06,1.95390110149519e-06,2.91006547031198e-06,8.58469313742034e-06
2003-09-01,7.18854589713438e-06,5.69192199918506e-06,5.95442507969839e-06,1.05939591633413e-05,6.65403736215248e-06,9.4121014026591e-06,6.73718313426078e-06,2.34233517996514e-06,4.7203042622624e-06,1.07519361303471e-05
2003-10-01,3.49663619611033e-06,3.46123842379918e-06,6.75765597027459e-06,7.33397595071543e-06,9.3892591055313e-06,1.0073984763675e-05,4.36056307657922e-06,1.88824991672266e-06,7.58729125881706e-06,5.32515237205793e-06
2003-11-01,8.91735668672557e-06,5.87231133257347e-06,6.2421496807079e-06,1.04302145986065e-05,6.95734230514904e-06,1.38644278312833e-05,6.97022865874257e-06,3.15586799505649e-06,8.02562101805301e-06,7.2846556864248e-06
2003-12-01,8.59027741673109e-06,6.0697298383301e-06,5.5907472767025e-06,1.13605241010297e-05,8.25891571016249e-06,7.20672450921005e-06,1.16981675461115e-05,2.60849191758507e-06,6.06815940370182e-06,9.97383032425213e-06
2004-01-01,9.59716541589322e-06,6.02109276310979e-06,6.06640198958804e-06,1.04916031089639e-05,7.1403984690725e-06,1.50158132787922e-05,6.03451771910334e-06,1.15286809594661e-06,5.58142545432083e-06,1.28661422003241e-05
2004-02-01,9.85357280076381e-06,7.54998925616439e-06,6.63645915220115e-06,8.33799613973574e-06,7.78941317654153e-06,9.42818855388016e-06,8.81451947640868e-06,3.65412041585296e-06,4.42120676269233e-06,1.38563688288165e-05
2004-03-01,9.7902493766903e-06,6.98772544729604e-06,5.94885881829644e-06,7.22003014966625e-06,4.97317906834154e-06,1.03254794109513e-05,6.65878198873981e-06,1.81569355372559e-06,3.74661023982681e-06,1.02678678447635e-05
2004-04-01,8.38314468979395e-06,6.07599505306895e-06,8.06750858314102e-06,7.68987252696698e-06,8.48272036629756e-06,1.07598094214366e-05,1.49044121076054e-05,4.28175408965496e-06,2.54951307576208e-06,1.37395645711482e-05
2004-05-01,1.08179310594274e-05,9.68970412382198e-06,7.33923134131071e-06,8.03382003295894e-06,9.21193455415234e-06,1.10712064939511e-05,1.81763499336566e-05,6.03639785614732e-06,4.08118825175631e-06,2.03061660876055e-05
2004-06-01,1.57753302765244e-05,9.95494835659413e-06,7.27107892498023e-06,9.70703431493731e-06,8.60341696820691e-06,1.34801260844112e-05,2.08983539889555e-05,3.38122763911311e-06,5.60925512316446e-06,1.83200479557245e-05
2004-07-01,9.62418897079621e-06,9.9228768648908e-06,5.15996751175378e-06,8.51886490761984e-06,7.46004315130849e-06,1.06329313197145e-05,1.28078084407864e-05,2.70249944896359e-06,4.09578010465031e-06,1.05256183038721e-05
2004-08-01,7.75530152697911e-06,6.58884679389681e-06,5.22940613865008e-06,5.64270342328539e-06,6.20799846962543e-06,1.21991012568183e-05,8.03197161008208e-06,4.34474500872822e-06,3.52498179953422e-06,1.28173393437521e-05
2004-09-01,8.97694723098541e-06,6.98512267323043e-06,8.48242527181866e-06,9.90074172415109e-06,8.20940794019535e-06,8.32960424971505e-06,1.22960824638651e-05,4.30131079066918e-06,3.67972416143874e-06,1.09395812564285e-05
2004-10-01,6.80300357940377e-06,6.32916961330014e-06,5.7671143081622e-06,8.98150148362196e-06,8.21169915430645e-06,1.37468767162978e-05,9.77122476046134e-06,3.62703537416863e-06,4.22324087506178e-06,1.42392087051022e-05
2004-11-01,8.12107383227098e-06,5.90536163853833e-06,3.42850621445253e-06,7.89037061036389e-06,8.35017494847037e-06,7.89037061036389e-06,9.25856888472953e-06,5.02580560501757e-06,4.41219911897303e-06,1.18491738140612e-05
2004-12-01,9.91876819439035e-06,6.29213847990396e-06,5.84201350209005e-06,8.18234301307266e-06,1.02343362393346e-05,1.12146796073848e-05,1.18426119607765e-05,4.02549490834996e-06,4.22412657115752e-06,1.70470818999842e-05
2005-01-01,6.39370296618766e-06,6.44887705269791e-06,4.94781734616908e-06,7.91748141422071e-06,7.57183198990651e-06,1.20165914884821e-05,1.20490468334882e-05,6.45536812169912e-06,5.78678801457492e-06,1.17650625646854e-05
