"","Topic 1: Central Banks","Topic 2: News","Topic 3: Emerging Markets","Topic 4: Eurozone","Topic 5: Private Investment","Topic 6: Miscellaneous","Topic 7: Financial Markets","Topic 8: Companies","Topic 9: German Politics","Topic 10: Raw Materials"
"Proportion (%)","11.1913","10.9634","8.8238","12.7896","10.2352","12.6257","11.377","6.0393","8.5658","7.3888"
"1","ezb","prozent","regierung","europa","euro","menschen","aktien","millionen","spd","dollar"
"2","fed","jahr","land","deutschland","kunden","ja","anleger","quartal","euro","gold"
"3","notenbank","preise","trump","eu","prozent","leben","prozent","konzern","fdp","china"
"4","geldpolitik","deutschland","tuerkei","politik","anleger","mal","dollar","ag","bundesregierung","usa"
"5","zentralbank","quartal","praesident","ja","sagt","heute","dax","unternehmen","sagte","goldpreis"
"6","zinsen","verbraucher","russland","muessen","wer","wurde","anleihen","umsatz","cdu","chinas"
"7","inflation","deutlich","partei","sz","wohnungen","schon","investoren","kunden","bund","tonnen"
"8","draghi","gestiegen","argentinien","welt","immobilien","frau","kurse","hauptversammlung","koalition","indien"
"9","banken","anstieg","praesidenten","waere","zinsen","mann","analysten","euro","lindner","japan"
"10","leitzins","plus","putin","laender","geld","immer","rendite","ergebnis","arbeitgeber","preis"
"11","eurozone","wachstum","biden","staaten","fonds","kinder","renditen","geschaeft","scholz","bitcoin"
"12","euroraum","inflationsrate","erdogan","china","rendite","leute","aktie","berlin","gewerkschaften","nachfrage"
"13","notenbanken","rueckgang","landes","usa","mieten","frauen","usa","hersteller","gruenen","waehrung"
"14","leitzinsen","vorjahr","tuerkische","unsere","sparer","vielleicht","boerse","zahlen","gewerkschaft","oelpreis"
"15","notenbanker","bundesamt","ukraine","europaeischen","banken","ganz","punkten","branche","milliarden","peking"
"16","zinssenkung","vergleich","lira","gibt","jahren","paar","boersen","lufthansa","sollen","oel"
"17","trichet","statistische","iran","waehrungsunion","aktien","sagt","aktienmarkt","mitarbeiter","union","brasilien"
"18","usnotenbank","verbraucherpreise","opposition","staat","mieter","stadt","punkte","milliarden","beschaeftigten","weltwirtschaft"
"19","waehrungshueter","seit","venezuela","herr","quadratmeter","buch","papiere","pressekonferenz","arbeitnehmer","welt"
"20","bank","lag","brasilien","regierungen","versicherer","wer","bank","marken","ig","russland"
"21","europaeische","deutschen","tuerkischen","krise","immobilie","geschichte","staatsanleihen","frankfurt","bahn","barrel"
"22","staatsanleihen","erwartet","russischen","frankreich","vermoegen","welt","euro","bilanzpressekonferenz","progression","edelmetall"
"23","zinserhoehung","wirtschaft","russische","schulden","pro","weiss","minus","firma","einkommen","schwellenlaender"
"24","prozent","inflation","parlament","griechenland","anbieter","spaeter","gold","sagte","bundestag","rohstoffe"
"25","preisstabilitaet","unternehmen","wahl","wirtschaft","altersvorsorge","natuerlich","woche","muenchen","erhoehung","weltweit"
"26","bernanke","stiegen","wahlen","politiker","kaeufer","oft","zinsen","aldi","berlin","chinesische"
"27","geldpolitischen","konsum","premier","investitionen","gibt","damals","leitindex","deutschland","metall","chinesischen"
"28","oekonomen","vormonat","chávez","land","bieten","familie","index","erstes","verdi","yuan"
"29","europaeischen","teuerung","trumps","tun","muenchen","sagen","usnotenbank","amazon","sei","investoren"
"30","lagarde","vergangenen","politischen","laendern","viele","zeit","bundesanleihen","markt","reform","waehrungen"
"31","ezbrat","entwicklung","moskau","italien","mehr","vater","zehnjaehrigen","gewinn","rente","asien"
"32","zinssenkungen","euro","demokraten","brauchen","markt","erzaehlt","plus","deutschen","kanzler","seit"
"33","sagte","energie","sanktionen","reformen","wohnung","kunst","aktienmaerkte","konkurrenten","csu","wirtschaft"
"34","powell","industrie","amt","europas","rente","nie","markt","post","kommunen","wachstum"
"35","wirtschaft","stark","mugabe","europaeische","zehn","junge","freitag","vw","staat","preise"
"36","bundesbank","duerfte","konservativen","politische","muessen","wissen","gewinne","hamburg","forderung","usdollar"
"37","konjunktur","monaten","politische","problem","investieren","gibt","bonds","geschaeftsjahr","oeffentlichen","bush"
"38","federal","deutsche","maduro","warum","jahr","einfach","fed","haendler","muesse","silber"
"39","zinserhoehungen","steigen","eu","heute","renditen","eltern","stieg","mercedes","gruene","je"
"40","inflationsrate","sagte","kirchner","immer","vermieter","jahre","erwartet","duesseldorf","merz","jahren"
"41","chefvolkswirt","minus","republikaner","natuerlich","etwa","macht","fondsmanager","drittes","fordert","land"
"42","ezbpraesident","ersten","iwf","frage","miete","warum","dow","bmw","finanzminister","schwellenlaendern"
"43","greenspan","rund","donald","nein","bank","jungen","titel","unternehmens","ampel","amerikanische"
"44","rezession","teuerungsrate","wahlkampf","bruessel","kosten","eben","notierte","rund","millionen","unze"
"45","sitzung","kommenden","buenos","probleme","deutschen","manchmal","experten","veroeffentlicht","buerger","staaten"
"46","mario","nachfrage","dollar","politischen","jahre","mutter","quartal","produkte","arbeit","yen"
"47","zentralbanken","rechnet","westen","fragen","investiert","maenner","mrd","uebernahme","schuldenbremse","new"
"48","maerkte","prognose","aires","buerger","kaufen","gerade","anlegern","vorstandschef","entlastung","amerikanischen"
"49","reserve","preissteigerungen","polen","kommission","private","art","zehnjaehrige","volkswagen","mindestlohn","vergangenen"
"50","geldpolitische","oekonomen","mehrheit","regierung","preise","gar","vergangenen","airlines","steuern","chinesen"
"51","finanzmaerkte","teurer","bevoelkerung","wirtschaftspolitik","rund","gesellschaft","kurs","startups","regierung","weltweiten"
"52","usa","eurozone","seite","regeln","staedten","arbeit","maerkte","hannover","muessen","feinunze"
"53","deflation","konjunktur","waehler","unserer","laufzeit","tag","bundesanleihe","air","mehr","kryptowaehrungen"
"54","wachstum","laut","korruption","wachstum","alter","film","wall","group","tarifrunde","anleger"
"55","donnerstag","januar","premierminister","braucht","sollten","eigentlich","fiel","holding","habeck","rezession"
"56","geldmenge","energiepreise","amtszeit","beispiel","beispiel","alten","marke","siemens","buergergeld","opec"
"57","finanzmaerkten","rechnen","regime","gerade","zins","haette","unternehmen","verkauft","merkel","kupfer"
"58","weidmann","loehne","wurde","sollten","festgeld","wirklich","seit","konzerns","gesetz","globalen"
"59","inflationsziel","daten","sagte","unternehmen","eigentumswohnungen","denen","zuletzt","produktion","partei","markt"
"60","erwartet","stieg","ungarn","europaeer","wohnen","geht","street","konkurrenz","schaeuble","rohstoffen"
"61","england","mitteilte","erdoğan","glaube","tagesgeld","kam","anleihe","halbjahr","bundesfinanzminister","amerika"
"62","zinsschritt","gesunken","washington","deutsche","beispielsweise","mensch","aktienmaerkten","quartalszahlen","rentner","rohstoffpreise"
"63","inflationserwartungen","zahlen","russlands","wettbewerbsfaehigkeit","oft","wort","aktienindex","deutsche","haushalt","sagt"
"64","of","juli","harris","wohlstand","geldanlage","sohn","deutlich","marke","dienst","weizen"
"65","anleihen","bip","lula","richtig","raet","alte","mittwoch","henkel","streiks","aufwertung"
"66","kredite","april","hauptstadt","zukunft","sparkassen","all","stimmung","preiserhoehungen","olaf","produktion"
"67","notenbankchef","haushalte","ankara","deutschen","schnitt","generation","analyst","thema","afd","steigen"
"68","fedchef","weniger","worden","gemeinsame","haeuser","namen","commerzbank","fahrzeuge","verhandlungen","japans"
"69","finanzkrise","mehr","joe","wichtig","meist","viele","morgan","milliarde","leistungen","wert"
"70","risiken","vorjahresmonat","polizei","besser","produkte","arbeiten","boersianer","bruessel","forderungen","amerikaner"
"71","zwei","knapp","peso","marktwirtschaft","immobilienfonds","jemand","dienstag","unsere","vorschlag","regierung"
"72","anleihekaeufe","statistischen","istanbul","ganz","immer","the","konjunkturdaten","verkauf","kosten","spekulanten"
"73","senken","jahres","demokratie","eukommission","derzeit","jaehrige","mdax","eon","schroeder","oelpreise"
"74","duisenberg","zahl","simbabwe","sagen","anlagen","alt","aktienkurse","zweites","lohn","dollars"
"75","null","arbeitsmarkt","kandidaten","globalisierung","anleihen","konnte","erwarten","autos","ab","london"
"76","basispunkte","zweiten","israel","trump","regel","schule","kursgewinne","angaben","jahr","experten"
"77","weitere","gegenueber","wirtschaft","wirklich","angebot","lesen","donnerstag","sollen","entlastungen","notenbanken"
"78","jeanclaude","erwarten","de","schaffen","risiko","bilder","duerften","marktfuehrer","beschaeftigte","deflation"
