date,type,n,n_wirtschaft,n_wirtschaft_unsicher,n_inflation
2001-01-01,docs,18066,4055,219,292
2001-01-01,words,3104863,922109,60569,75960
2001-02-01,docs,18069,3830,194,320
2001-02-01,words,3096857,865681,52886,84431
2001-03-01,docs,19977,4350,231,317
2001-03-01,words,3495537,984306,63690,83904
2001-04-01,docs,16618,3626,193,294
2001-04-01,words,2879067,829551,54039,81299
2001-05-01,docs,17476,3575,139,331
2001-05-01,words,3008084,813988,40893,82850
2001-06-01,docs,16696,3432,145,394
2001-06-01,words,2903575,789966,41517,98259
2001-07-01,docs,17300,3625,160,310
2001-07-01,words,2967557,801874,49277,83165
2001-08-01,docs,17402,3460,188,257
2001-08-01,words,3008989,783430,55427,69782
2001-09-01,docs,15334,3189,296,198
2001-09-01,words,2801169,735295,77973,52708
2001-10-01,docs,16968,3740,383,247
2001-10-01,words,3020687,837199,101714,64996
2001-11-01,docs,16345,3420,250,227
2001-11-01,words,2856257,756324,68697,58491
2001-12-01,docs,14645,3081,204,276
2001-12-01,words,2622421,719150,60330,79146
2002-01-01,docs,16437,3728,180,269
2002-01-01,words,2857738,831135,56684,73378
2002-02-01,docs,16664,3448,159,209
2002-02-01,words,2879131,761016,39820,50864
2002-03-01,docs,17411,3655,150,235
2002-03-01,words,3051097,819522,42528,62871
2002-04-01,docs,16773,3634,197,268
2002-04-01,words,2936237,828118,54660,67982
2002-05-01,docs,15665,3309,190,282
2002-05-01,words,2702777,731957,49096,69947
2002-06-01,docs,16847,3401,207,221
2002-06-01,words,2890025,763282,56004,54493
2002-07-01,docs,15681,3587,236,224
2002-07-01,words,2680370,812548,63359,58461
2002-08-01,docs,14997,3465,230,223
2002-08-01,words,2617406,811324,66446,60217
2002-09-01,docs,14622,3219,227,179
2002-09-01,words,2530673,743527,64428,46594
2002-10-01,docs,15434,3568,233,221
2002-10-01,words,2680697,831579,60933,62330
2002-11-01,docs,14847,3450,214,246
2002-11-01,words,2554944,777511,57899,65107
2002-12-01,docs,13422,2988,186,242
2002-12-01,words,2349660,689493,54955,65767
2003-01-01,docs,14627,3419,232,230
2003-01-01,words,2540209,771634,61511,60158
2003-02-01,docs,14151,3062,273,180
2003-02-01,words,2449598,689549,71202,46609
2003-03-01,docs,16416,3301,334,184
2003-03-01,words,2696955,714596,87133,47285
2003-04-01,docs,15670,3014,221,139
2003-04-01,words,2414329,641030,53308,35071
2003-05-01,docs,16448,3420,201,235
2003-05-01,words,2526123,733674,51048,61433
2003-06-01,docs,14574,3121,153,205
2003-06-01,words,2375988,694363,41587,52362
2003-07-01,docs,17330,3433,142,169
2003-07-01,words,2648074,735284,37108,44341
2003-08-01,docs,16077,3027,150,136
2003-08-01,words,2508658,660511,43638,31494
2003-09-01,docs,21038,4244,198,239
2003-09-01,words,3412007,946146,58425,63879
2003-10-01,docs,22014,4490,190,214
2003-10-01,words,3586151,1003169,52807,59350
2003-11-01,docs,20525,4236,219,256
2003-11-01,words,3293868,931064,63596,65862
2003-12-01,docs,17705,3328,134,219
2003-12-01,words,2828523,758399,41922,53172
2004-01-01,docs,15906,3243,142,197
2004-01-01,words,2463503,692042,43122,52236
2004-02-01,docs,11646,2263,118,141
2004-02-01,words,1755001,478949,36370,37657
2004-03-01,docs,15845,3180,166,164
2004-03-01,words,2421219,674346,42026,39681
2004-04-01,docs,15086,3140,154,197
2004-04-01,words,2319440,673803,41072,49004
2004-05-01,docs,14708,3059,166,237
2004-05-01,words,2262229,657801,47913,58910
2004-06-01,docs,17125,3272,134,300
2004-06-01,words,2654848,695835,35329,75960
2004-07-01,docs,17475,3249,138,219
2004-07-01,words,2688747,708529,38852,49497
2004-08-01,docs,16128,2871,157,183
2004-08-01,words,2529637,633015,43440,46229
2004-09-01,docs,16566,3264,148,212
2004-09-01,words,2582187,702665,41733,51561
2004-10-01,docs,17212,3446,173,220
2004-10-01,words,2692776,756575,45818,62684
2004-11-01,docs,16671,3279,141,186
2004-11-01,words,2578620,713969,40423,48902
2004-12-01,docs,16567,3080,132,226
2004-12-01,words,2544369,702325,47553,60236
2005-01-01,docs,16139,3056,105,200
2005-01-01,words,2458435,674152,32823,54584
2005-02-01,docs,15993,2971,125,176
2005-02-01,words,2457003,642259,36748,43959
2005-03-01,docs,18866,3519,127,240
2005-03-01,words,2841256,753157,36824,60091
2005-04-01,docs,17872,3275,121,241
2005-04-01,words,2732068,721430,34844,61407
2005-05-01,docs,15785,2993,138,181
2005-05-01,words,2434019,660883,42178,42872
2005-06-01,docs,17403,3408,171,185
2005-06-01,words,2642611,754068,46934,49761
2005-07-01,docs,16790,2931,116,172
2005-07-01,words,2575397,656094,34313,43834
2005-08-01,docs,17071,2968,116,205
2005-08-01,words,2606783,672356,35368,55144
2005-09-01,docs,16629,3248,194,262
2005-09-01,words,2715784,745497,57396,71222
2005-10-01,docs,15645,3124,135,344
2005-10-01,words,2663230,725897,45658,88025
2005-11-01,docs,15886,3246,137,293
2005-11-01,words,2657319,739788,38138,76088
2005-12-01,docs,15545,3034,94,226
2005-12-01,words,2604497,706221,29351,61522
2006-01-01,docs,15067,3028,114,193
2006-01-01,words,2508288,683280,34767,48795
2006-02-01,docs,15341,2685,72,172
2006-02-01,words,2545038,597090,22267,42164
2006-03-01,docs,17067,3287,117,240
2006-03-01,words,2840550,742976,39216,58806
2006-04-01,docs,14362,2748,104,228
2006-04-01,words,2422144,630995,31447,55445
2006-05-01,docs,15768,2961,120,262
2006-05-01,words,2651009,687654,38081,69106
2006-06-01,docs,16754,2779,95,270
2006-06-01,words,2761785,612937,29564,68031
2006-07-01,docs,15915,2631,75,170
2006-07-01,words,2659477,616164,21987,45656
2006-08-01,docs,15808,2818,113,226
2006-08-01,words,2671733,641015,31876,57580
2006-09-01,docs,15890,3072,117,222
2006-09-01,words,2729793,706817,34338,58932
2006-10-01,docs,15960,3134,126,207
2006-10-01,words,2745121,721886,39541,58005
2006-11-01,docs,15622,3018,103,201
2006-11-01,words,2641048,698532,31752,53220
2006-12-01,docs,14001,2554,98,182
2006-12-01,words,2399466,613629,33457,50253
2007-01-01,docs,15383,2977,92,211
2007-01-01,words,2634815,702710,30553,56562
2007-02-01,docs,14267,2729,82,202
2007-02-01,words,2468992,647304,28647,57280
2007-03-01,docs,16224,3057,118,229
2007-03-01,words,2829549,737368,33758,63313
2007-04-01,docs,13406,2536,110,181
2007-04-01,words,2368667,617291,33492,48396
2007-05-01,docs,14009,2719,83,171
2007-05-01,words,2464177,653318,31254,46768
2007-06-01,docs,14581,2846,88,200
2007-06-01,words,2589853,699546,28148,54414
2007-07-01,docs,14337,2603,82,187
2007-07-01,words,2539720,645672,28782,54211
2007-08-01,docs,14548,2786,163,218
2007-08-01,words,2567053,679546,49403,54697
2007-09-01,docs,14269,2871,169,236
2007-09-01,words,2608166,702901,51931,69392
2007-10-01,docs,15526,3148,131,281
2007-10-01,words,2836710,784853,40266,79534
2007-11-01,docs,14921,2986,161,286
2007-11-01,words,2683860,726079,51314,83217
2007-12-01,docs,12838,2552,134,302
2007-12-01,words,2339804,641329,44407,80260
2008-01-01,docs,14288,3000,177,338
2008-01-01,words,2588773,738956,52869,90902
2008-02-01,docs,14282,2855,175,288
2008-02-01,words,2615564,711509,52404,72658
2008-03-01,docs,13814,2706,136,333
2008-03-01,words,2577257,677096,41341,92700
2008-04-01,docs,14682,3056,145,406
2008-04-01,words,2661576,752006,41467,109062
2008-05-01,docs,13587,2678,119,398
2008-05-01,words,2511997,671893,40866,108312
2008-06-01,docs,14543,2815,115,477
2008-06-01,words,2638728,694728,38067,118869
2008-07-01,docs,14516,2875,131,509
2008-07-01,words,2643965,711792,46073,125061
2008-08-01,docs,14149,2756,134,413
2008-08-01,words,2632583,704842,41144,110580
2008-09-01,docs,13921,2991,181,353
2008-09-01,words,2666871,780942,60866,99309
2008-10-01,docs,14393,3765,331,283
2008-10-01,words,2753491,968685,102929,90431
2008-11-01,docs,13362,3402,211,219
2008-11-01,words,2508932,853836,66261,66312
2008-12-01,docs,13033,3260,204,220
2008-12-01,words,2378144,803495,67371,69008
2009-01-01,docs,13505,3609,227,206
2009-01-01,words,2486981,882035,78504,60732
2009-02-01,docs,12937,3569,212,210
2009-02-01,words,2387575,847616,65059,60799
2009-03-01,docs,13798,3830,233,231
2009-03-01,words,2556723,926519,75253,70195
2009-04-01,docs,12508,3367,202,223
2009-04-01,words,2325828,811400,58631,68909
2009-05-01,docs,12261,3238,147,197
2009-05-01,words,2288152,785145,45477,57195
2009-06-01,docs,12328,3132,146,217
2009-06-01,words,2271084,781200,43862,64391
2009-07-01,docs,13326,3178,149,182
2009-07-01,words,2457001,781544,52067,53086
2009-08-01,docs,12393,2921,150,150
2009-08-01,words,2289037,702425,42284,46975
2009-09-01,docs,12989,3149,152,161
2009-09-01,words,2373739,779366,52095,47692
2009-10-01,docs,16549,3626,169,184
2009-10-01,words,2871264,883505,53484,51977
2009-11-01,docs,24119,4489,201,215
2009-11-01,words,3765019,1048015,66875,64164
2009-12-01,docs,23303,4061,196,257
2009-12-01,words,3568381,954214,66848,71726
2010-01-01,docs,15984,3432,171,227
